year,gsl
1899,NA
1900,NA
1901,345
1902,315
1903,330
1904,358
1905,347
1906,345
1907,365
1908,366
1909,365
1910,364
1911,358
1912,343
1913,NA
1914,NA
1915,363
1916,366
1917,364
1918,341
1919,354
1920,360
1921,365
1922,351
1923,365
1924,359
1925,365
1926,364
1927,363
1928,360
1929,NA
1930,350
1931,344
1932,366
1933,365
1934,365
1935,351
1936,361
1937,365
1938,365
1939,365
1940,331
1941,353
1942,353
1943,336
1944,366
1945,363
1946,363
1947,365
1948,366
1949,364
1950,328
1951,365
1952,366
1953,360
1954,365
1955,365
1956,340
1957,361
1958,354
1959,341
1960,366
1961,NA
1962,NA
1963,NA
1964,363
1965,NA
1966,365
1967,NA
1968,349
1969,349
1970,341
1971,356
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,NA
1979,314
1980,NA
1981,NA
1982,365
1983,365
1984,364
1985,338
1986,351
1987,361
1988,NA
1989,NA
1990,NA
1991,365
1992,NA
1993,365
1994,NA
1995,349
1996,355
1997,NA
1998,363
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,361
2009,364
2010,345
2011,349
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,365
2018,NA
2019,365
2020,NA
2021,365
2022,365
2023,365
2024,356
2025,NA
