year,id0
1899,NA
1900,NA
1901,0
1902,0
1903,0
1904,1
1905,2
1906,0
1907,0
1908,0
1909,1
1910,0
1911,0
1912,3
1913,NA
1914,NA
1915,0
1916,0
1917,1
1918,1
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,NA
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,NA
1962,NA
1963,NA
1964,0
1965,NA
1966,1
1967,NA
1968,1
1969,0
1970,1
1971,0
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,1
1978,0
1979,1
1980,NA
1981,NA
1982,1
1983,0
1984,0
1985,1
1986,0
1987,0
1988,NA
1989,NA
1990,NA
1991,0
1992,NA
1993,0
1994,NA
1995,0
1996,0
1997,NA
1998,0
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,0
2009,0
2010,0
2011,0
2012,NA
2013,NA
2014,0
2015,0
2016,0
2017,0
2018,0
2019,0
2020,NA
2021,0
2022,1
2023,0
2024,0
2025,NA
