year,prcptot
1899,NA
1900,NA
1901,967.6
1902,1208.9
1903,NA
1904,1053.7
1905,1208.4
1906,1465
1907,1367
1908,1334.7
1909,1153.6
1910,1376.7
1911,1099.1
1912,1487.1
1913,NA
1914,1096.5
1915,1277.9
1916,1146.5
1917,913.7
1918,NA
1919,1261.7
1920,1233.8
1921,1017.6
1922,1528.3
1923,1323.7
1924,1336.1
1925,1151
1926,1192.2
1927,1231.7
1928,1603.7
1929,1512.3
1930,1327.9
1931,647.1
1932,1272
1933,976.5
1934,1162.1
1935,1374.5
1936,1193.3
1937,1366.2
1938,1022.4
1939,1254.2
1940,1254.1
1941,1335.4
1942,1076.1
1943,1138.1
1944,1500.4
1945,1459.1
1946,1287.1
1947,1674.9
1948,1811.2
1949,1056.9
1950,NA
1951,1013.1
1952,1131.5
1953,1314.8
1954,796.9
1955,1000.6
1956,825.9
1957,1290.1
1958,1154.3
1959,1576.5
1960,1268.7
1961,1439.3
1962,NA
1963,NA
1964,1882.4
1965,NA
1966,1273.8
1967,NA
1968,906.4
1969,1418.7
1970,1129.2
1971,1389.1
1972,1340.6
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,927.6
1979,NA
1980,NA
1981,945.7
1982,2340.8
1983,1447.1
1984,1296.2
1985,1336
1986,1402.6
1987,1309.4
1988,NA
1989,NA
1990,NA
1991,NA
1992,1427
1993,1354
1994,NA
1995,NA
1996,1028.7
1997,1312.3
1998,1377
1999,1294
2000,NA
2001,NA
2002,1352.6
2003,1272
2004,NA
2005,NA
2006,NA
2007,NA
2008,1309.5
2009,1728.1
2010,1050.8
2011,NA
2012,1388.8
2013,NA
2014,1263.2
2015,1637.5
2016,1810.4
2017,1339.7
2018,1609.3
2019,1412.3
2020,NA
2021,1395.6
2022,1140.7
2023,1508.2
2024,1601.3
2025,NA
