year,r10mm
1899,NA
1900,NA
1901,32
1902,35
1903,NA
1904,40
1905,42
1906,49
1907,44
1908,38
1909,39
1910,43
1911,36
1912,50
1913,NA
1914,39
1915,42
1916,36
1917,32
1918,NA
1919,47
1920,41
1921,36
1922,51
1923,47
1924,48
1925,35
1926,38
1927,35
1928,51
1929,51
1930,46
1931,22
1932,40
1933,27
1934,32
1935,42
1936,38
1937,42
1938,31
1939,41
1940,35
1941,44
1942,38
1943,39
1944,44
1945,45
1946,42
1947,48
1948,58
1949,30
1950,NA
1951,32
1952,35
1953,40
1954,21
1955,28
1956,22
1957,38
1958,41
1959,42
1960,35
1961,46
1962,NA
1963,NA
1964,49
1965,NA
1966,40
1967,NA
1968,31
1969,40
1970,36
1971,45
1972,39
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,29
1979,NA
1980,NA
1981,28
1982,45
1983,49
1984,37
1985,40
1986,43
1987,44
1988,NA
1989,NA
1990,NA
1991,NA
1992,41
1993,43
1994,NA
1995,NA
1996,29
1997,42
1998,41
1999,40
2000,NA
2001,NA
2002,40
2003,42
2004,NA
2005,NA
2006,NA
2007,NA
2008,39
2009,40
2010,32
2011,NA
2012,48
2013,NA
2014,42
2015,53
2016,33
2017,42
2018,53
2019,40
2020,NA
2021,44
2022,33
2023,51
2024,44
2025,NA
