year,r95p
1899,NA
1900,NA
1901,107.4
1902,286.8
1903,NA
1904,65
1905,161.3
1906,290.8
1907,302.5
1908,413.5
1909,350.3
1910,296.2
1911,110.5
1912,118.1
1913,NA
1914,49.8
1915,320.3
1916,246.4
1917,117.9
1918,NA
1919,165.1
1920,133.4
1921,160.5
1922,245.8
1923,192.8
1924,343.7
1925,316.1
1926,335.3
1927,510.3
1928,445.8
1929,247.6
1930,172.5
1931,51.8
1932,341.2
1933,302.3
1934,412.7
1935,496.8
1936,226.8
1937,295.2
1938,295.9
1939,61
1940,567
1941,348.3
1942,198.3
1943,125.5
1944,524.9
1945,319.1
1946,401.9
1947,326.5
1948,197.4
1949,171.5
1950,NA
1951,192.6
1952,266.5
1953,282
1954,219.2
1955,284.2
1956,141.2
1957,331.1
1958,139.7
1959,560.8
1960,353.8
1961,349.7
1962,NA
1963,NA
1964,842.1
1965,NA
1966,150.2
1967,NA
1968,129.5
1969,472.8
1970,207
1971,173.7
1972,442.3
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,116.8
1979,NA
1980,NA
1981,201.9
1982,1198.1
1983,355.1
1984,515.1
1985,242.8
1986,539.8
1987,349.8
1988,NA
1989,NA
1990,NA
1991,NA
1992,355.1
1993,296.4
1994,NA
1995,NA
1996,229.9
1997,293.6
1998,391.2
1999,432.6
2000,NA
2001,NA
2002,321.9
2003,181.2
2004,NA
2005,NA
2006,NA
2007,NA
2008,336
2009,690.1
2010,110.5
2011,NA
2012,248.9
2013,NA
2014,113.8
2015,467.8
2016,1065.5
2017,242.6
2018,387.1
2019,434.9
2020,NA
2021,258.1
2022,184.4
2023,263.7
2024,706.2
2025,NA
