year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,38.1,NA,25.4,16,23.9,40.6,38.1,51.3,14,132.1,36.8,15.7,NA
1900,34.3,12.7,29.2,27.9,33,64.3,35.1,76.2,38.1,21.8,26.2,NA,NA
1901,26.4,18.3,23.9,29.7,21.6,56.6,23.1,24.4,21.1,8.9,8.6,8.1,56.6
1902,4.1,29.5,38.6,9.1,16,29,70.6,55.9,53.1,52.1,31.8,33,70.6
1903,21.1,34.3,47,27.7,NA,58.4,48,104.1,65.8,19.3,43.9,20.8,NA
1904,65,30.5,28.7,10.2,16.5,23.9,35.1,36.1,41.4,17.8,27.9,8.9,65
1905,16.8,39.9,56.9,22.6,46,23.6,52.1,36.8,36.1,52.3,36.1,24.6,56.9
1906,38.9,16.8,23.6,25.4,24.4,89.4,38.1,36.1,35.1,51.6,13.5,40.1,89.4
1907,19.1,22.4,10.2,15.7,27.9,50.8,40.4,40.6,120.7,38.1,10.2,81,120.7
1908,36.8,63.8,49,59.4,48.8,65,27.7,41.9,50.8,76.7,13.2,19.1,76.7
1909,4.6,18,112,17.8,14,55.9,73.7,28.7,30.2,5.6,11.2,21.8,112
1910,24.4,49.3,21.6,20.6,37.1,38.1,33.3,52.6,35.1,67.8,21.8,24.1,67.8
1911,29.7,22.9,34.8,18,0,44.2,39.4,50.8,59.7,29.2,41.9,29.2,59.7
1912,50.8,44.5,33.5,45.2,44.5,38.4,22.9,67.3,42.4,38.1,19.1,33,67.3
1913,68.6,46,29.5,16.8,19.3,NA,NA,NA,NA,22.1,NA,41.9,NA
1914,43.4,49.8,24.1,21.8,8.1,46.7,30.7,23.6,43.2,32.3,23.4,25.9,49.8
1915,33.5,21.1,19.8,22.4,135.6,48.3,20.8,64,30.2,32.3,64.3,26.2,135.6
1916,8.9,17.8,32.3,25.9,35.1,36.8,140.5,38.6,18.3,50,13.7,18.5,140.5
1917,15.7,25.4,54.1,20.1,42.7,29.2,39.9,30.2,63.8,3.8,5.6,17.5,63.8
1918,15.7,14,23.6,36.1,41.7,47,26.2,27.2,NA,20.3,23.1,25.4,NA
1919,19.3,55.1,25.4,14.5,25.4,50.8,38.6,59.2,25.9,38.6,4.6,4.8,59.2
1920,50.8,82.6,42.4,44.2,10.9,31.2,25.4,48.3,36.6,23.1,32.5,38.1,82.6
1921,15.2,25.4,29.2,17.8,40.4,53.3,48.8,36.3,58.4,22.4,30.5,3.8,58.4
1922,26.7,33,38.1,8.9,61,22.9,38.1,82,21.6,38.4,0,39.4,82
1923,13.5,11.4,45.7,15.2,64,20.1,27.9,41.9,69.1,44.5,42.4,59.7,69.1
1924,25.1,31.5,17.8,49.3,21.3,28.2,44.7,6.9,105.4,32.8,16.5,49,105.4
1925,64.8,16,13.2,22.1,17.5,36.3,61,12.7,20.6,64,45.7,69.9,69.9
1926,39.4,62.7,26.4,16.5,39.9,85.6,75.2,43.9,15.5,10.4,37.3,25.4,85.6
1927,16,36.6,19.8,6.1,14.2,80.3,84.1,115.6,35.6,69.3,17.5,53.8,115.6
1928,8.1,40.6,24.6,50.8,16.5,36.6,65.3,43.7,127,37.3,10.7,16.5,127
1929,33.8,34.8,31.8,30,21.3,69.6,63.2,64.8,42.9,16.8,45.7,42.2,69.6
1930,22.4,27.2,21.8,47.5,31.2,38.1,57.4,32.8,61,11.7,36.1,20.8,61
1931,18.8,23.1,16.8,22.4,21.6,46.7,51.8,36.1,3.6,10.9,5.1,10.9,51.8
1932,25.9,19.3,42.9,16,21.6,123.2,42.4,77.5,33.8,50.8,89.7,10.2,123.2
1933,30.5,81.3,22.1,67.6,48.8,11.4,35.6,42.9,104.6,25.4,24.9,4.6,104.6
1934,15.7,25.4,9.9,36.1,132.1,19.8,18.3,109.7,59.7,30.5,48.5,12.4,132.1
1935,10.9,18.3,16.8,36.1,20.3,72.9,59.4,127,57.2,71.1,28.2,20.3,127
1936,23.9,33.3,17.3,32.5,20.1,68.6,52.6,53.3,22.9,52.3,47.8,33,68.6
1937,56.4,25.1,22.1,47,2,41.9,71.1,95.3,13,42.9,21.1,18,95.3
1938,6.1,11.9,6.1,74.9,40.1,38.9,62.2,27.9,108,50.8,12.2,15.2,108
1939,24.1,46.5,16.3,47,42.4,35.6,26.2,61,16,15.5,35.6,18.3,61
1940,37.8,55.9,58.7,26.4,27.4,101.1,64.3,228.6,18.8,3,17.3,10.4,228.6
1941,35.6,24.9,16.5,31.2,18.5,158.8,30.7,21.3,20.1,24.9,14,73.4,158.8
1942,38.1,15.7,45.7,24.1,33,79.2,38.1,23.4,66.8,15,5.8,25.7,79.2
1943,20.6,39.6,33.8,26.4,22.1,39.6,61.2,64.3,37.1,1.5,27.2,42.2,64.3
1944,48.8,80.8,79.8,45.2,9.9,13.5,86.4,28.4,33.8,170.2,18.8,12.4,170.2
1945,10.9,50.8,15.5,21.6,21.3,27.7,44.7,58.7,152.4,18.5,19.1,39.6,152.4
1946,50.8,27.9,39.9,45.2,39.9,15.5,52.1,80.8,8.6,81.8,22.6,8.1,81.8
1947,42.7,3.8,43.2,27.7,45.7,36.1,17.8,69.3,109.2,66,82,39.9,109.2
1948,22.1,34.8,43.2,114.3,35.3,29.7,38.9,34.3,83.1,27.7,45.2,39.1,114.3
1949,6.9,21.1,19.3,14.7,37.8,45.5,48,171.5,6.1,13.5,27.9,12.7,171.5
1950,7.1,9.7,43.9,17.3,53.3,6.4,72.4,37.3,84.6,87.1,11.7,NA,NA
1951,5.3,24.1,48.3,9.9,51.6,34.3,64,39.1,42.7,24.9,77,17,77
1952,17.3,36.1,26.4,13.2,31.8,64.8,29.2,70.4,36.8,38.6,18.5,19.6,70.4
1953,16,33.8,32.8,11.4,45.5,82.6,60.2,67.3,71.9,16.5,10.9,40.6,82.6
1954,13.2,13,26.7,22.4,29.2,16.8,149.9,29.7,48,34,9.4,27.9,149.9
1955,30.7,31.5,6.9,46.2,13.7,52.8,15.2,96.8,83.8,14.7,15.5,3,96.8
1956,15,49,17.3,41.4,21.8,36.8,26.7,92.2,45.5,26.2,7.6,19.8,92.2
1957,10.2,15.7,34.3,10.7,61.5,40.6,62.7,66,91.4,33,38.6,25.1,91.4
1958,26.7,29.7,45,88.9,29.7,14.7,23.6,50.8,31,25.4,18.5,18.3,88.9
1959,27.7,82.6,133.6,12.7,40.9,22.9,58.9,59.7,35.1,68.3,7.1,45.2,133.6
1960,47.2,79.8,35.3,34,35.8,68.8,68.3,22.4,87.6,13.5,24.9,7.9,87.6
1961,25.4,20.1,46.7,55.1,65.3,56.6,91.9,80.8,15.5,6.1,23.4,18.8,91.9
1962,35.1,11.7,43.7,37.8,92.5,47.2,34.3,36.3,99.1,19.1,NA,NA,NA
1963,NA,NA,NA,16.3,31.8,40.4,30.7,15.2,50,4.6,66,30,NA
1964,59.7,50.8,44.5,33.3,57.9,24.4,120.7,171.5,62.5,55.9,9.1,50.8,171.5
1965,14.5,36.1,27.2,NA,15,50.8,92.5,25.7,31.8,31.5,18.3,21.8,NA
1966,26.7,30.5,43.2,18,54.9,34.8,31.8,95.3,30.5,8.6,5.8,16.5,95.3
1967,30.5,NA,16.5,42.9,91.4,35.1,51.6,45.7,19.6,6.9,NA,27.7,NA
1968,22.4,19.1,12.2,16,26.2,78.7,36.1,21.8,9.9,50.8,31.2,45.2,78.7
1969,47,19.1,43.9,35.1,184.2,25.7,27.4,66,67.6,23.9,95.3,24.9,184.2
1970,30.5,56.1,49.3,8.9,50.8,27.4,33.5,47.5,45.2,50.8,16.5,29.7,56.1
1971,30.2,21.3,34.3,45.2,22.1,45.7,30.2,122.4,18,51.3,25.9,45.7,122.4
1972,42.7,81,30.5,42.7,39.4,67.1,18,73.2,17,14.5,42.9,34.3,81
1973,31.2,57.2,46.7,26.2,15,52.8,35.8,NA,48,16.5,NA,NA,NA
1974,14.7,21.8,27.9,19.1,NA,NA,35.1,46.5,NA,8.4,27.9,24.4,NA
1975,33,38.4,40.6,90.4,22.9,NA,NA,54.4,26.7,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,26.2,31.2,66,35.1,30,27.7,NA
1977,20.3,15.5,NA,20.3,32.5,55.9,25.7,58.9,30,35.6,19.6,37.1,NA
1978,46.7,26.7,21.3,29.2,66.5,37.6,17.3,29.2,50.3,5.1,33.8,44.2,66.5
1979,25.4,33,NA,105.4,99.8,26.9,61.2,51.3,151.9,36.8,36.1,53.8,NA
1980,22.4,17,114.3,17.8,101.1,31,41.9,31.5,34.3,30.7,13.5,NA,NA
1981,11.9,40.9,27.7,60.7,27.9,89.9,45.2,43.2,7.6,18.3,8.9,51.3,89.9
1982,24.1,41.9,27.4,51.3,39.4,1016,20.6,49.5,29.2,4.8,3.8,47,1016
1983,39.4,34,50.8,50.3,11.4,76.7,55.9,25.9,71.1,25.9,30.5,37.1,76.7
1984,33.5,64,76.2,102.1,76.7,73.7,43.2,16.5,38.1,10.2,15.5,5.6,102.1
1985,7.9,34,16.5,9.4,37.6,75.4,48,51.3,8.9,40.6,67.3,21.6,75.4
1986,24.4,51.3,9.7,18.3,31.2,51.3,27.4,86.9,24.9,35.6,72.4,37.3,86.9
1987,45.2,22.9,40.6,14,51.3,68.6,23.6,77.5,101.1,23.9,12.2,11.4,101.1
1988,32.8,NA,19.6,44.5,31.5,27.2,45.5,82,81.3,27.9,NA,12.7,NA
1989,NA,7.6,20.6,30.5,27.9,35.6,51.3,50.8,66,50.8,16.8,50.8,NA
1990,101.6,22.9,44.5,13.5,NA,47,61,62.7,6.9,62.7,55.9,17.8,NA
1991,50.8,10.4,66,83.6,NA,39.4,43.2,53.8,25.4,16.8,19.3,14.7,NA
1992,34.8,21.8,31.8,34,21.3,57.9,76.2,77.2,15.2,67.6,36.8,30,77.2
1993,78.7,19.8,43.7,53.3,18.5,31.2,32.3,43.2,95.8,43.2,68.6,13.2,95.8
1994,49.3,15.7,74.9,3.6,8.9,NA,18.5,17.8,23.1,90.2,25.9,NA,NA
1995,43.2,48.3,22.1,21.1,36.1,106.7,NA,120.7,71.1,57.2,7.1,6.6,NA
1996,16.3,10.4,38.9,33,1.8,31.2,94.5,12.2,65.5,69.9,21.8,19.1,94.5
1997,46.5,35.8,20.3,55.1,18,52.1,77.2,16.5,38.1,35.8,50.8,58.4,77.2
1998,55.9,50.8,38.1,45.7,20.8,72.4,51.1,22.4,107.2,27.9,3,43.4,107.2
1999,51.6,32.5,20.3,16.5,27.9,52.8,79.5,91.4,50.8,34.8,14.5,49.3,91.4
2000,21.6,34.5,40.9,64,6.6,50.8,53.8,NA,36.8,0,44.5,25.4,NA
2001,13.5,16.5,43.2,10.2,10.9,25.4,102.4,24.1,48.8,18.3,NA,17.8,NA
2002,22.9,38.1,36.3,14,22.9,99.1,80.8,35.6,73.9,68.1,38.1,33.8,99.1
2003,14.7,32.3,29,26.4,77.5,37.6,35.8,34.3,46.5,51.6,16.5,22.4,77.5
2004,34.3,33,2.5,69.6,29.2,89.7,27.9,NA,52.1,13,12.7,45.7,NA
2005,24.6,34.8,NA,15.7,NA,NA,66,40.6,2.5,NA,NA,91.4,NA
2006,40.6,45.2,17,22.9,NA,61,31.8,36.3,NA,23.4,53.3,38.9,NA
2007,33,25.4,10.2,31,19.6,47.8,38.1,49.3,41.7,NA,4.3,68.6,NA
2008,26.2,23.4,20.6,30.5,27.7,58.9,59.9,54.6,32.5,61,41.4,3.6,61
2009,14.5,64.8,231.1,63.5,28.7,30.5,68.6,40.6,40.6,36.6,123.4,57.4,231.1
2010,41.9,26.4,11.4,16.5,42.4,18.8,15.5,44.5,110.5,15.5,5.6,32.3,110.5
2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,11.7,11.9,88.9,21.1,36.8,56.9,45.7,54.6,22.9,40.6,11.7,40.1,88.9
2013,8.4,71.1,86.4,25.4,45.7,NA,55.1,53.3,24.4,NA,55.9,50,NA
2014,24.6,45.7,24.1,57.4,27.2,25.4,43.2,25.4,56.4,34.3,36.3,45.2,57.4
2015,29.2,69.1,24.4,39.4,31,28.4,33,80,38.4,76.2,53.3,35.6,80
2016,28.2,82.8,41.7,21.6,101.6,66,25.4,38.6,177.8,287.5,2,111.8,287.5
2017,82.6,17.3,15.7,39.9,38.4,45.2,47.8,43.9,160,12.7,23.1,34.3,160
