year,sdii
1899,NA
1900,NA
1901,12.6
1902,13.1
1903,NA
1904,11.6
1905,11.7
1906,14.8
1907,12.8
1908,14
1909,12.4
1910,14.2
1911,13.1
1912,13.4
1913,NA
1914,12.9
1915,14.7
1916,12.7
1917,10.7
1918,NA
1919,16.2
1920,13
1921,13.8
1922,14.7
1923,13.4
1924,16.1
1925,14.2
1926,15.5
1927,16.4
1928,15.9
1929,15.3
1930,14.1
1931,8.6
1932,15.9
1933,13.4
1934,14.7
1935,15.6
1936,12.7
1937,13.4
1938,13.3
1939,12.3
1940,16.1
1941,15.3
1942,12.7
1943,15.8
1944,14.4
1945,14.3
1946,15.9
1947,15.2
1948,15.3
1949,11.2
1950,NA
1951,13
1952,13.8
1953,14.1
1954,13.5
1955,11.6
1956,10.6
1957,12.1
1958,10.3
1959,13.6
1960,13.8
1961,13.6
1962,NA
1963,NA
1964,17.4
1965,NA
1966,13.3
1967,NA
1968,11.5
1969,18.2
1970,14.9
1971,16
1972,18.6
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,11.2
1979,NA
1980,NA
1981,14.3
1982,22.3
1983,15.1
1984,17.1
1985,14.5
1986,18.5
1987,16.8
1988,NA
1989,NA
1990,NA
1991,NA
1992,13.6
1993,16.1
1994,NA
1995,NA
1996,11.1
1997,13.5
1998,15.8
1999,16.4
2000,NA
2001,NA
2002,14.4
2003,13.1
2004,NA
2005,NA
2006,NA
2007,NA
2008,13.8
2009,16
2010,13.1
2011,NA
2012,13.2
2013,NA
2014,13.3
2015,15.4
2016,21.8
2017,15.9
2018,14.5
2019,13.3
2020,NA
2021,14
2022,11.5
2023,15.7
2024,18.6
2025,NA
