year,su
1899,NA
1900,NA
1901,160
1902,177
1903,175
1904,175
1905,189
1906,172
1907,164
1908,181
1909,183
1910,176
1911,179
1912,173
1913,NA
1914,NA
1915,204
1916,198
1917,187
1918,205
1919,202
1920,194
1921,212
1922,222
1923,202
1924,193
1925,205
1926,202
1927,224
1928,187
1929,NA
1930,183
1931,213
1932,199
1933,203
1934,207
1935,209
1936,204
1937,195
1938,219
1939,210
1940,185
1941,204
1942,209
1943,206
1944,197
1945,216
1946,210
1947,190
1948,211
1949,209
1950,208
1951,201
1952,204
1953,205
1954,204
1955,213
1956,213
1957,200
1958,189
1959,205
1960,201
1961,NA
1962,NA
1963,NA
1964,197
1965,NA
1966,207
1967,NA
1968,200
1969,186
1970,206
1971,204
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,201
1978,204
1979,185
1980,NA
1981,NA
1982,207
1983,170
1984,204
1985,224
1986,214
1987,188
1988,NA
1989,NA
1990,NA
1991,210
1992,NA
1993,183
1994,NA
1995,206
1996,199
1997,NA
1998,219
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,206
2009,195
2010,209
2011,224
2012,NA
2013,NA
2014,201
2015,209
2016,172
2017,206
2018,197
2019,205
2020,NA
2021,215
2022,223
2023,218
2024,220
2025,NA
