year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,14.36,NA,21.87,22.63,31.14,34.48,34.1,34.07,30.79,24.98,20.44,15.5,NA
1900,14.48,13.94,18.71,23.97,29.54,32.11,35.29,36.52,32.1,25.84,20.93,NA,NA
1901,13.94,13.29,18.59,19.83,30.18,31.84,33.35,32.48,29.72,24.45,16.85,13.63,23.25
1902,12.88,11.41,19.84,22.56,30.74,32.68,34.44,32.2,28.43,24.46,21.96,15.29,23.98
1903,13.53,16.68,23.29,23.82,26.8,30.02,32.31,32.69,28.39,23.8,17.63,12.67,23.54
1904,12.09,15.16,21.2,22.92,28.35,31.59,32.72,30.59,30.11,24.72,18.07,14.05,23.5
1905,12.08,11.3,21.32,24.83,29.07,31.81,32.37,30.68,30.35,25.17,19.72,12.47,23.53
1906,14.29,14.85,18.26,25.22,26.97,31.14,30.68,30.61,29.65,21.98,19.58,15.02,23.22
1907,19.01,14.65,24.53,19.56,27.05,29.76,31.93,30.9,28.37,21.83,17.41,14.87,23.4
1908,13.31,13.45,23.76,25.71,28.53,30.4,30.95,31.58,28.41,22.99,20.2,17.5,23.93
1909,17.45,18.01,20.04,24.05,28.35,32.48,31.85,32.23,28.55,24.85,22.17,13.03,24.45
1910,15.78,14.2,22.83,25.62,29.61,29.6,31.47,30.97,29.62,25.04,16.97,11.97,23.76
1911,16.32,18.5,20.07,23.76,30.45,33.67,31.68,32.08,31.92,25.84,17.59,15.5,24.83
1912,9.74,11.69,17.74,23.22,28.64,30.57,32.02,33.11,30.64,24.95,17.89,15.9,23.13
1913,NA,18.09,22.24,24.88,30.49,NA,NA,NA,NA,24.5,NA,16.61,NA
1914,16.23,NA,17.17,25.54,30.04,33.65,33.42,31.55,28.7,25.11,20.36,13.59,NA
1915,14.94,17.06,16.55,24.7,30.74,31.38,33.43,32.75,31.07,27.08,22.81,15.01,24.85
1916,19.73,18.45,20.1,24.62,30.38,31.02,30.9,32.58,29.79,25.08,21.16,17.19,25.05
1917,17.82,17.05,21.9,26.81,27.56,31.69,32.47,32.13,28.29,24.63,19.5,11.83,24.33
1918,11.15,19.3,23.76,23.76,29.2,31.83,32.41,33.3,28.99,27.17,19.5,16.26,24.79
1919,16.71,15.48,21.42,25.57,29.18,30.13,32.17,31.79,30.23,30.08,22.89,17.73,25.36
1920,16.25,14.06,19.89,24.13,27.3,32.17,32.31,31.76,31.42,26.24,20.25,16.65,24.4
1921,18.19,19.94,26.33,26.2,27.98,32.72,31.59,32.33,34.56,25.23,22.96,19.78,26.51
1922,15.05,20.81,22.53,27.3,28.94,32.25,32.81,30.55,30.76,26.45,22.61,19.23,25.79
1923,19.41,17.52,22.42,25.73,26.95,30.79,32.22,32.81,31.17,25.16,18.74,19.54,25.25
1924,16.11,16.31,19.41,24.35,28.34,33.42,32.8,34.3,27.95,24.14,21.61,17.38,24.7
1925,16.65,20.2,23.13,27,28.62,33.02,33.98,33.51,35.73,26.88,19.12,14.98,26.12
1926,14.54,18.57,17.27,24.89,29.94,31.73,31.98,33.54,32.07,27.25,19.92,19.5,25.13
1927,17.55,23.1,21.52,26.97,30.8,31.78,32.25,31.69,31.65,27.34,23.06,16.7,26.2
1928,17.03,16.73,21.01,24.02,27.93,31.31,31.97,32.37,29.09,26.61,20.43,17.1,24.66
1929,NA,16.42,23.53,26.48,28.24,30.99,31.95,32.3,28.48,25.09,20.65,15.98,NA
1930,16.86,20.96,18.03,25.97,30.26,30.72,34.74,32.53,31.95,23,17.43,12.2,24.54
1931,15.12,17.84,17.96,24.73,28.43,33.77,35.43,33.11,33.46,27.99,23.97,21.18,26.12
1932,20.92,21.26,20.2,26.11,28.26,31.87,35.82,32.17,29.26,24.44,17.38,19.4,25.62
1933,19.02,18.16,21.65,24.19,32.13,33.6,32.35,32.98,32.38,25.93,19.69,21.12,26.15
1934,17.58,14.83,21.14,26.16,27.85,33.25,35.23,33.03,31.31,25.87,22.26,15.97,25.45
1935,16.72,17.48,25.05,25.56,29.82,33.28,31.79,32.19,29.04,25.96,20.24,10.8,24.86
1936,13.8,14.53,22.9,25.01,30.83,33.69,35.04,33.64,31.79,27.1,19.11,15.96,25.3
1937,22,16.5,20.66,24.92,30.23,33.14,32.77,32.7,29.35,24.05,19.08,15.91,25.16
1938,15.32,19.79,25.56,26.14,30.89,31.46,32,35.06,31.05,25.32,21.82,16.39,25.92
1939,18.54,21.27,23.71,25.86,28.55,33.47,33.24,32.2,31.25,27.12,18.9,17.47,25.97
1940,9.92,16.09,20.33,24.23,28.96,32.3,32.53,31.78,29.72,26.29,20.72,18.26,24.28
1941,16.08,14.14,17.97,26.76,31.19,31.52,32.45,33.33,31.77,29.04,22.21,17.44,25.39
1942,15.7,13.14,21.15,26.73,29.37,32.06,33.95,32.79,30.84,27.61,23.47,16.76,25.37
1943,16.92,18.2,20.46,24.53,29.68,34.51,32.76,33.12,29.13,25.94,21,16.09,25.23
1944,15.89,19.46,21.44,23.62,30.21,34.61,31.55,31.52,31.15,25.98,19.4,14.92,24.98
1945,15.59,19.09,26.65,26.84,28.45,33.61,32.45,32.11,31.53,25.34,22.17,12.97,25.58
1946,16.74,20.24,23.77,26.22,28.24,31.84,32.67,31.77,29.5,26.14,22.7,19.41,25.79
1947,19.3,15.39,15.98,27.44,29.4,31.56,31.95,32.33,30.08,26.61,17.58,15.84,24.5
1948,13.38,16.95,21.58,26.17,29.57,33.07,32.83,31.87,28.87,23.86,24.14,17.81,25.02
1949,20.67,20.15,21.13,24.59,29.81,30.94,33,32.7,29.41,27.45,20.16,17.8,25.67
1950,22.14,21.04,19.58,25.37,30.18,33.81,32.27,32.68,29.39,25.94,19.67,13.22,25.44
1951,18.25,18.78,20.81,24.24,29.83,33.03,33.7,34.05,30.16,26.2,18.61,18.66,25.59
1952,20.42,17.73,21.35,24.82,30.58,35.32,34.58,33.2,30.02,24.7,21.94,15.15,25.86
