year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,2.44,NA,7.81,10.78,17.47,20.31,22.05,22.19,17.93,13.59,7.33,2.33,NA
1900,2.77,3.05,6.56,12.21,16.97,21.98,22.56,22.73,19.73,15.48,7.71,NA,NA
1901,3.28,1.99,6.41,8.7,16.56,20.41,22.67,21.9,19.11,10.97,4.44,1.4,11.55
1902,0.22,0.79,7.32,10.22,17.89,20.86,22.77,21.55,18.22,13.85,10.26,4.2,12.41
1903,3.47,5.25,12.79,10.5,16.83,18.98,21.53,22.12,18.57,11.58,6.69,-0.44,12.45
1904,0.83,3.56,9.23,9.98,14.86,18.66,20.69,20.54,17.85,11.86,5.63,3.52,11.48
1905,0.99,1.69,9.61,12.28,18.73,20,21.77,20.69,19.85,12.4,6.84,2.74,12.36
1906,3.99,2.8,5.79,10.5,15.21,21.17,21.48,22.72,20.67,12.28,5.4,3.34,12.16
1907,7.06,4.16,11.56,8.7,15.91,18.74,22.42,21.78,20.6,10.05,6.87,4.25,12.73
1908,2.54,3.17,11.32,14.79,16.52,19.94,21.94,20.9,17.25,10.3,7.49,4.92,12.64
1909,4.67,3.96,6.53,11.81,15.28,20.89,21,21.62,18.12,8.98,8.02,1.51,11.9
1910,2.65,1.79,8.32,9.66,15.26,18.93,20.92,21.54,18.76,13.75,3.93,0.62,11.36
1911,3.94,5.33,5.83,10.8,14.88,20.02,20.39,20.64,20.68,15.58,5.26,4.52,12.38
1912,1.24,0.2,5.95,12.05,17.16,19.53,20.7,20.38,20.81,12.28,3.52,3.58,11.48
1913,7.34,4.74,8.29,8.28,13.3,NA,NA,NA,NA,9.11,NA,3.04,NA
1914,0.37,1.72,2.33,10.28,13.23,19.53,19.25,20.23,15.48,12.18,3.77,3.36,10.29
1915,1.57,3.34,1.53,8.15,16.86,18.24,20.03,20.65,18.69,13.55,7.98,1.12,11.01
1916,6.46,3.68,4.91,8.74,14.79,17.71,20.49,20.31,15.62,12.73,5.89,4.19,11.34
1917,5.28,3.75,8.05,10.46,11.75,18.33,19.91,19.24,16.52,8.46,1.63,-0.78,10.28
1918,-0.76,5.85,10.49,11.15,14.6,18.55,18.44,20.54,15.97,15.18,6.22,6.65,11.98
1919,2.66,5.55,9.52,10.11,16.56,19.1,20.76,20.88,17.25,18.21,8.94,3.42,12.8
1920,4.52,2.99,5.34,11.74,13.96,18.09,19.87,20.14,18.73,9.91,6.15,3.49,11.26
1921,3.14,4.87,11.13,10.52,14.01,18.78,21.07,20.7,19.38,11.52,9.41,4.77,12.48
1922,2.28,8.06,7.52,12.33,16.45,19.85,20.94,19.51,18.15,13.48,7.19,7.05,12.75
1923,4.49,4.08,8.45,10.61,15.22,18.88,20.02,21.38,18.76,11.68,4.62,7.15,12.14
1924,2.43,2.26,5.38,11.01,13.69,19.91,20.63,20.7,17.08,10.73,6.23,5.17,11.32
