year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,0,NA,3,0,1,3,1,0,2,0,0,2,NA
1900,2,3,1,0,0,0,0,0,1,0,0,NA,NA
1901,0,2,4,0,2,0,0,0,0,3,1,4,16
1902,1,0,1,1,1,0,0,0,1,0,0,2,7
1903,0,1,0,0,0,3,0,0,0,0,3,1,8
1904,1,0,0,0,0,2,1,2,0,0,0,1,7
1905,6,3,0,2,0,0,0,1,0,3,0,0,15
1906,0,0,2,1,3,0,1,0,0,3,2,3,15
1907,0,1,0,4,1,0,0,0,0,2,0,2,10
1908,0,2,0,0,1,0,0,0,4,1,1,0,9
1909,1,2,0,0,0,0,1,0,4,5,1,2,16
1910,0,1,1,3,0,2,3,0,4,1,1,4,20
1911,1,1,2,3,3,0,6,0,0,0,2,1,19
1912,2,3,0,0,0,2,0,2,0,0,3,0,12
1913,0,0,2,3,4,NA,NA,NA,NA,4,NA,4,NA
1914,1,4,10,1,3,0,8,1,6,4,4,3,45
1915,0,0,8,4,0,3,4,1,1,2,2,3,28
1916,0,2,4,2,2,1,0,2,5,1,3,0,22
1917,1,5,1,0,7,1,0,3,6,9,6,4,43
1918,4,1,0,0,3,2,11,3,6,0,0,0,30
1919,3,0,1,6,1,1,3,1,1,0,1,2,20
1920,2,4,6,4,0,5,5,3,1,7,1,0,38
1921,0,0,0,3,4,5,0,1,0,4,1,0,18
1922,1,1,0,2,0,0,0,7,1,0,1,0,13
1923,0,4,1,1,1,1,3,0,0,3,2,0,16
1924,3,2,5,1,0,0,2,1,5,2,0,1,22
1925,0,0,2,1,7,0,1,5,2,2,2,2,24
1926,1,2,3,3,4,1,2,0,0,3,1,0,20
1927,4,0,2,4,3,1,2,4,2,0,1,1,24
1928,7,2,1,5,0,2,0,0,1,1,2,2,23
1929,0,0,0,0,1,1,3,2,2,0,1,4,14
1930,0,0,3,1,3,4,0,6,0,3,3,0,23
1931,1,0,1,1,1,5,0,5,2,0,0,0,16
1932,0,0,4,0,0,0,0,0,3,2,2,0,11
1933,0,1,1,1,0,5,5,0,1,3,4,0,21
1934,2,4,1,1,2,0,0,1,3,3,4,1,22
1935,3,3,1,1,3,1,0,0,0,2,2,6,22
1936,3,1,0,3,0,3,3,1,2,0,1,0,17
1937,0,0,1,2,0,0,0,0,0,1,3,3,10
1938,3,0,0,2,0,1,5,0,4,2,3,0,20
1939,0,2,1,1,3,0,0,2,0,1,1,0,11
1940,8,2,2,4,2,1,0,0,5,1,1,0,26
1941,0,3,6,0,1,0,0,0,0,1,4,0,15
1942,1,4,0,1,1,0,0,3,2,2,2,2,18
1943,1,4,3,3,1,0,0,3,5,4,2,3,29
1944,0,0,0,2,2,2,8,3,0,0,0,3,20
1945,0,2,0,0,0,1,0,2,0,1,1,2,9
1946,0,0,0,0,0,5,3,0,3,3,0,0,14
1947,0,9,5,0,1,4,4,0,1.77,0,0,0,24.77
1948,1,0,1,0,0,0,0,3,0,0,0,0,5
1949,0,0,0,1,0,0,0,0,0,0,1,0,2
1950,0,0.87,1,7,0,1,0,5,4,0,4.92,1,24.79
1951,0,4,0,0,3,0,4,2,1,1,6.97,2,23.97
1952,1,0,0,5,3.61,0,1,4,2.97,5.97,1,4.82,29.38
1953,0,0,3.99,6,0,1.7,2,2,5.81,1,4,3,29.49
1954,0,1,4.71,0,11.36,4,2,0,2,2,3,2.95,33.03
1955,0,3,6,0,0,5.92,0,0,0,1.84,3,2.94,22.7
1956,0,0,3,2,0,1,0,0,4,0,2,0,12
1957,3.97,0,1,1,2.99,0,0,1.97,0,3.94,1,2,17.87
1958,2,9.95,2,0,1,1,1,0,0,0,0,3,19.95
1959,4.95,1,0,0,0,1,0,1,0,0,1,1,9.95
1960,2,1,9,1,3,2,1,1,0,0,0.96,10.04,31
1961,2,0,0,0,4,3,0,1,1,0,NA,4,NA
1962,1,0,0,7.03,0,1,0.94,2.97,3,4,NA,NA,NA
1963,NA,NA,NA,2,5,0,4,1.92,3.51,2.99,4.75,3.69,NA
1964,3.88,1.95,1,2,0,0.97,4,2,2.95,5,0,3,26.75
1965,3,1,1,NA,2,5.58,1,1,0,3,0,4.05,NA
1966,3.91,3.96,2.95,4,1,12,3,5,2,0,2,2,41.82
1967,0,NA,2,3,4,0,3.88,4.92,12,2,NA,0,NA
1968,1,6,6,1,2,3,1,1,4.99,5.73,7.73,8.97,48.42
1969,6.95,4,8.79,2,2,0,0,6,3.96,0,5.66,4.96,44.32
1970,9,6.83,2,0.94,4,5.95,4,0,2,3.94,5,5,48.65
1971,5,7,6.99,3,4,0,3,0,0.92,2,2,0,33.91
1972,2,2,1,3.65,0,10.7,NA,0.87,2,0,1,NA,NA
1973,2,3,0,2,4,1,0,NA,0,0,NA,NA,NA
1974,0,3,0,3.96,NA,NA,4.88,0,NA,7,1,0.1,NA
1975,0,0,2,1,0,NA,NA,0,0,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,0,3.71,7,NA,NA,NA,NA
1977,NA,NA,NA,4,4,5,1,1,0,11,8,10,NA
1978,11.99,11,NA,3,1.87,3.74,1.97,0,0,7,0,3.64,NA
1979,5.77,8,2.84,0,5.69,9.69,0,4,0,0.95,2.94,4,43.87
1980,0,8,3,0,2,1,0,2.79,0,6.83,2,NA,NA
1981,NA,4.87,4,0,4,2,0,0,7,2.74,0,6.58,NA
1982,3,0,1.86,0,1,0,0,0.94,1.97,0,1.97,0,10.74
