year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,-3.9,NA,-6.1,2.2,11.1,11.7,15,18.3,8.9,8.3,1.1,-6.7,NA
1900,-7.8,-8.9,-1.1,1.7,8.3,17.8,21.1,19.4,12.2,5,-1.7,NA,NA
1901,-2.8,-6.7,-5,4.4,10,15.6,20.6,19.4,13.3,1.7,-3.3,-8.9,-8.9
1902,-7.8,-4.4,-1.1,0,11.7,17.8,20.6,17.2,13.3,4.4,-0.6,-6.7,-7.8
1903,-3.3,-5,6.1,3.9,12.2,12.8,17.8,20.6,13.9,1.1,-7.2,-5,-7.2
1904,-6.1,-3.3,1.1,2.2,10,13.9,17.2,16.1,12.2,2.2,-0.6,-6.1,-6.1
1905,-10,-7.8,0.6,0.6,13.9,15,18.9,16.1,16.1,1.7,-1.7,-3.3,-10
1906,-5.6,-3.3,-2.8,2.2,4.4,15.6,18.3,21.1,16.7,2.2,-3.3,-8.3,-8.3
1907,-5,-6.1,2.2,-2.2,10.6,15.6,18.3,18.3,16.1,1.1,-1.7,-5.6,-6.1
1908,-4.4,-6.7,0,5,5,16.7,18.9,17.8,10,5,-1.7,-2.2,-6.7
1909,-8.3,-7.8,0.6,2.8,8.3,16.1,17.2,17.8,5.6,1.1,-3.3,-9.4,-9.4
1910,-5,-5,-2.2,1.1,9.4,11.7,15.6,18.9,10,-0.6,-1.1,-7.2,-7.2
1911,-6.1,-2.8,-1.1,1.7,5.6,15,14.4,17.8,17.8,10,-5,-3.9,-6.1
1912,-10.6,-6.7,-1.1,3.9,10.6,13.3,17.8,17.2,17.8,4.4,-5,-5,-10.6
1913,-1.1,-3.3,-1.1,2.2,6.1,NA,NA,NA,NA,-2.2,NA,-7.8,NA
1914,-6.7,-5,-6.1,3.3,7.2,16.1,15,16.7,5.6,-1.7,-6.1,-6.7,-6.7
1915,-3.9,-5,-3.9,-2.2,7.8,14.4,13.9,16.7,14.4,3.3,-3.3,-7.8,-7.8
1916,-6.7,-7.2,-4.4,-2.2,7.8,12.2,18.9,16.7,8.3,2.8,-5.6,-5.6,-7.2
1917,-7.2,-10,-5,2.8,4.4,14.4,17.2,12.8,8.9,-2.8,-7.2,-11.7,-11.7
1918,-11.7,-6.1,2.2,3.3,6.1,13.3,13.3,14.4,6.7,7.2,-1.7,-1.7,-11.7
1919,-8.9,-5.6,0.6,-1.1,9.4,12.2,13.3,16.7,11.1,12.8,-2.8,-7.8,-8.9
1920,-11.1,-8.3,-7.2,0.6,9.4,12.2,13.9,16.1,11.1,0,-2.8,-3.9,-11.1
1921,-4.4,-1.7,0,-1.1,3.3,10.6,18.9,15,15.6,2.2,-2.2,-5,-5
1922,-6.7,-5.6,-2.2,3.9,11.7,17.8,17.8,15,10,5.6,-6.1,-0.6,-6.7
1923,-5,-8.3,-2.2,0.6,5.6,13.9,15.6,19.4,14.4,1.1,-3.9,-2.2,-8.3
1924,-11.7,-5,-3.3,0,7.8,16.7,15.6,16.7,8.9,3.3,-3.3,-6.7,-11.7
1925,-3.3,-2.8,-3.3,-1.1,3.9,15,16.7,15,13.3,0.6,-5,-10,-10
1926,-6.1,-5.6,-6.1,2.2,7.2,14.4,15,19.4,16.7,-1.1,-2.2,-5,-6.1
1927,-12.2,0.6,-4.4,0.6,5.6,12.8,15.6,12.8,10.6,3.9,-2.8,-6.1,-12.2
1928,-11.1,-6.1,-1.1,1.7,7.8,11.1,17.8,19.4,10,-1.1,-5.6,-6.1,-11.1
1929,-3.9,-5,0,5,6.7,12.8,13.9,15,10,3.9,-6.1,-6.7,-6.7
1930,-4.4,-3.9,-3.3,4.4,9.4,8.9,18.3,13.3,16.1,1.1,-5,-5.6,-5.6
1931,-6.7,-5,-3.3,3.9,5.6,11.1,17.8,11.7,8.3,2.8,-0.6,-2.8,-6.7
1932,-3.3,-2.2,-5.6,3.9,9.4,13.3,17.2,17.8,8.9,4.4,-3.3,-2.8,-5.6
1933,-1.7,-6.7,-3.3,5,13.9,7.8,13.9,17.8,10,3.9,-3.9,-3.9,-6.7
1934,-10,-7.2,-3.9,1.7,10.6,15.6,19.4,15.6,13.9,0,-5.6,-8.3,-10
1935,-8.3,-6.7,-5.6,2.2,8.3,15,18.9,16.1,12.2,1.7,-5,-10,-10
1936,-7.8,-7.2,1.1,-0.6,10.6,12.2,16.7,16.7,11.7,3.9,-5.6,-1.7,-7.8
1937,4.4,-3.3,-1.7,1.7,8.9,17.2,17.8,18.9,13.3,0,-6.1,-10,-10
1938,-7.8,-0.6,-2.2,1.7,11.1,15,16.1,17.8,8.9,4.4,-6.7,-2.8,-7.8
1939,-3.9,-5.6,-0.6,3.9,2.8,19.4,20,16.1,14.4,1.7,-2.8,-3.9,-5.6
1940,-10.6,-6.7,-1.7,0,3.3,16.1,17.2,18.9,8.9,5,-5,-1.7,-10.6
1941,-4.4,-4.4,-5.6,7.8,7.2,15,19.4,20,12.2,5.6,-3.9,-3.3,-5.6
1942,-10.6,-6.1,-2.2,1.1,8.9,16.1,20,12.8,7.2,2.8,-3.9,-6.1,-10.6
1943,-6.7,-12.2,-7.2,-1.1,6.1,17.8,18.9,13.9,9.4,-1.7,-4.4,-11.7,-12.2
1944,-6.1,-4.4,-2.2,-1.7,7.2,13.9,16.1,15,15,1.7,-1.1,-6.1,-6.1
1945,-2.8,-6.7,5,5,7.8,13.3,20,14.4,15.6,4.4,-5,-7.8,-7.8
