year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,10,NA,18.3,17.2,23.9,25.6,25,25.6,22.8,20,15,10,NA
1900,11.7,14.4,11.7,17.8,22.2,24.4,24.4,24.4,23.3,22.2,18.9,NA,NA
1901,12.8,10,16.1,17.2,21.1,23.9,25,24.4,23.3,21.1,15,12.8,25
1902,11.1,9.4,13.3,17.2,21.1,25.6,25.6,24.4,22.8,19.4,18.3,15.6,25.6
1903,14.4,15,18.9,17.8,22.2,21.7,23.9,24.4,22.2,21.1,18.3,7.2,24.4
1904,13.9,16.1,16.7,16.7,21.1,22.2,22.2,23.3,21.7,18.9,14.4,14.4,23.3
1905,18.3,12.2,15.6,20,22.2,23.9,24.4,25.6,23.3,19.4,14.4,9.4,25.6
1906,16.7,8.9,16.1,17.2,20,24.4,22.8,23.9,23.9,21.1,20.6,15.6,24.4
1907,13.9,13.3,18.9,16.1,20,22.2,25.6,23.3,23.3,16.7,17.8,17.8,25.6
1908,9.4,15.6,18.3,20,21.1,22.8,23.9,23.9,21.1,16.1,15.6,15,23.9
1909,12.2,17.2,15.6,18.3,21.1,23.9,25,23.9,22.8,17.2,15.6,17.8,25
1910,13.9,15.6,16.1,18.9,21.1,22.8,22.8,23.9,23.3,21.1,16.1,19.4,23.9
1911,13.9,14.4,14.4,18.9,19.4,22.8,24.4,22.8,25,21.7,15,15,25
1912,10.6,12.2,14.4,19.4,21.1,23.9,23.9,22.2,23.9,21.7,16.1,17.8,23.9
1913,15.6,15.6,19.4,16.7,20,NA,NA,NA,NA,19.4,NA,12.2,NA
1914,12.8,12.8,15,16.7,18.9,23.9,22.2,21.7,20.6,19.4,16.7,16.1,23.9
1915,14.4,13.3,7.8,14.4,21.1,21.7,23.3,23.3,21.1,22.2,16.7,18.3,23.3
1916,16.1,14.4,15.6,15,20.6,20.6,21.7,23.3,20.6,21.7,15.6,16.7,23.3
1917,12.8,18.9,14.4,17.2,21.1,21.1,21.7,21.7,21.7,19.4,10.6,10,21.7
1918,13.3,14.4,16.7,19.4,19.4,21.1,23.3,23.3,21.7,20,21.1,16.7,23.3
1919,14.4,18.9,19.4,19.4,20.6,21.1,22.8,24.4,21.1,22.2,21.1,20,24.4
1920,14.4,12.8,16.1,20,18.9,22.8,22.8,22.8,22.2,19.4,16.7,15.6,22.8
1921,13.9,14.4,18.9,18.3,20.6,22.8,22.2,23.3,22.2,20.6,17.2,14.4,23.3
1922,12.8,15,18.3,18.9,20,23.3,23.9,22.8,22.2,21.1,16.1,13.9,23.9
1923,13.3,16.7,16.7,19.4,20,21.7,22.8,23.9,22.2,18.9,15.6,15.6,23.9
1924,17.2,11.1,19.4,16.7,22.2,23.3,23.3,25,21.7,18.3,12.2,17.2,25
1925,13.9,15,15.6,17.2,18.9,23.3,24.4,25.6,23.9,22.2,18.9,15,25.6
1926,15.6,16.7,14.4,17.8,21.1,22.2,23.3,23.3,22.2,21.1,16.1,16.1,23.3
