year,tr20
1899,NA
1900,NA
1901,91
1902,78
1903,79
1904,57
1905,81
1906,102
1907,86
1908,72
1909,85
1910,73
1911,82
1912,73
1913,NA
1914,40
1915,52
1916,46
1917,30
1918,37
1919,71
1920,47
1921,78
1922,64
1923,64
1924,60
1925,78
1926,73
1927,60
1928,70
1929,59
1930,78
1931,63
1932,72
1933,70
1934,84
1935,66
1936,74
1937,79
1938,72
1939,92
1940,67
1941,87
1942,75
1943,64
1944,37
1945,92
1946,55
1947,56
1948,52
1949,83
1950,43
1951,51
1952,39
1953,20
1954,50
1955,79
1956,58
1957,75
1958,75
1959,80
1960,72
1961,NA
1962,NA
1963,NA
1964,68
1965,NA
1966,59
1967,NA
1968,44
1969,47
1970,27
1971,6
1972,NA
1973,NA
1974,NA
1975,NA
1976,NA
1977,NA
1978,NA
1979,52
1980,NA
1981,NA
1982,75
1983,68
1984,58
1985,30
1986,92
1987,63
1988,NA
1989,NA
1990,NA
1991,80
1992,NA
1993,67
1994,NA
1995,69
1996,43
1997,8
1998,52
1999,NA
2000,NA
2001,NA
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,21
2009,7
2010,90
2011,67
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,74
2018,NA
2019,76
2020,NA
2021,85
2022,98
2023,78
2024,92
2025,NA
