year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,1,NA,2,1,2,8,6,10,3,2,1,0,NA
1900,0,0,0,0,0,0,11,20,6,1,3,NA,NA
1901,1,0,0,0,2,3,2,0,2,0,0,0,10
1902,0,0,0,0,3,3,8,1,0,1,5,0,21
1903,1,1,0,0,2,0,0,4,0,0,0,0,8
1904,0,1,1,1,0,0,3,0,2,2,0,0,10
1905,1,0,0,0,2,0,1,0,0,1,1,0,6
1906,1,0,0,4,3,1,0,0,0,0,2,0,11
1907,2,0,7,0,0,0,1,1,0,0,0,0,11
1908,1,0,6,2,0,0,0,0,0,0,1,0,10
1909,2,1,0,0,1,0,0,0,0,0,0,0,4
1910,2,0,1,4,2,0,0,0,1,0,0,1,11
1911,1,1,1,1,3,6,0,0,8,3,0,0,24
1912,0,0,0,0,1,2,0,2,6,1,0,1,13
1913,NA,1,1,0,6,NA,NA,NA,NA,2,NA,1,NA
1914,1,NA,1,3,2,7,3,0,0,1,1,1,NA
1915,1,0,0,0,5,0,2,0,3,1,3,1,16
1916,8,4,1,2,5,0,0,0,0,3,2,1,26
1917,4,2,5,3,0,0,0,0,1,1,0,0,16
1918,1,7,4,2,0,3,2,3,0,1,1,1,25
1919,1,0,0,2,0,0,0,0,0,16,4,1,24
1920,6,0,2,0,0,4,1,1,3,3,1,0,21
1921,0,8,12,0,2,5,0,1,20,1,6,4,59
1922,5,3,3,6,3,2,0,0,3,3,3,5,36
1923,5,3,3,1,0,0,0,1,2,0,0,5,20
1924,1,0,1,0,0,4,1,5,0,0,3,6,21
1925,0,1,4,6,0,1,2,6,23,7,0,1,51
1926,1,1,0,1,3,1,1,1,6,6,0,6,27
1927,6,9,3,4,2,2,2,1,5,5,5,3,47
1928,5,0,0,0,0,0,0,0,1,4,3,0,13
1929,NA,1,5,3,0,0,0,0,0,1,4,2,NA
1930,5,3,0,3,1,0,5,2,2,0,0,0,21
1931,0,0,0,0,0,7,8,2,13,5,12,7,54
1932,9,6,2,2,0,2,12,1,2,1,0,6,43
1933,3,2,1,0,7,5,1,5,9,1,0,7,41
1934,3,0,2,5,1,2,10,2,3,3,6,0,37
1935,3,0,6,3,3,2,0,1,0,2,0,0,20
1936,1,0,3,2,3,6,10,3,3,5,1,1,38
1937,18,2,0,3,3,3,1,0,1,2,1,0,34
1938,0,4,8,1,8,0,0,13,6,3,4,1,48
1939,4,6,4,0,1,3,0,0,8,10,1,0,37
1940,0,0,0,2,3,1,4,0,1,4,1,0,16
1941,0,0,0,6,8,4,0,1,4,8,3,0,34
1942,0,0,2,2,0,0,4,0,3,6,6,2,25
1943,5,1,3,1,0,8,0,3,0,4,3,3,31
1944,3,3,2,1,2,7,0,0,6,2,0,0,26
1945,0,6,10,1,3,2,2,0,3,0,3,0,30
1946,4,1,2,2,0,1,0,1,0,4,3,3,21
1947,4,0,0,4,2,3.96,0,0,5.69,2,0,0,21.65
1948,1,2,3,0,0.71,1,0,2,1,0,5.64,4.96,21.31
1949,12,5,5,0,0.9,0,2,0,2.48,5,0,4.94,37.31
1950,14,6.92,2.88,1.68,4,12,0,0.86,0,2,4,0,48.34
1951,3,2,5,0,2,1,4,3.86,1,4.71,3.99,4.95,35.51
1952,11.94,1,0,0,4.7,10.75,9.92,3.92,0.94,1,0.05,1,45.22
1953,2,0.64,0,0,8.88,2.88,0,5.74,1,2,3.05,0,26.19
1954,6,2,3,5.97,0,4.9,10.21,11.94,12.91,7.01,0,1,64.94
1955,2,1,12.7,3,5,0,0,4,1.77,0,4,2,35.47
1956,1.69,4,2,0,4,1,1.87,5.99,3.68,0,4,14.97,43.19
1957,5,7,0.01,0,0,0,0,4,8.95,0,2,0,26.96
1958,0,1,0,2,0,2,1,1.94,4,3,9,0.86,24.79
1959,2.86,2,0,0,5.94,3,2,2,0,7.87,1,0,26.66
1960,2,0,0,0,4,0,1,0,0,3,2,0,12
1961,0,6.78,4.99,0,0,0,0,0,2,2,NA,NA,NA
1962,3,7.71,0,2,10,0,1.62,0,2,8.96,NA,NA,NA
1963,NA,NA,NA,4.87,2,0.86,0,0,1,2.39,0,0,NA
1964,0,0,0,0,2,1,0,0,0,2,5,4.95,14.95
1965,2.99,4,1,NA,0,0,0,0.99,2,0.01,0,0,NA
1966,2,0,0,2,0,0,0,1,0,3.01,3,2,13.01
1967,4,NA,9.86,7,1,0,0,0,0,0,NA,4,NA
1968,0,0,3.92,4.84,0,0,3,13.78,0,3,0.97,1,30.52
1969,0.88,1.99,1,1,0,1,3.92,0,0,0,0,0,9.79
1970,1,0,0,1.82,2.7,3,2,2,8.88,3,1,7.99,33.39
1971,1,0,0,3,0,2,0,0,0,3.73,0,6,15.73
1972,4.86,0,0,4,0,0,NA,0,8.94,1,4,2.86,NA
1973,0,0,4.88,0,1,0,0,NA,3,2.01,NA,NA,NA
1974,13.74,0,10.7,4.77,NA,NA,0,0,NA,1,1.05,1,NA
1975,4,3.99,2.79,0.01,0.97,NA,NA,11,1,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA
1977,0,0,4,1,0.99,0.74,6.52,0,0,0,1,0,14.25
1978,0,0,0,6,0,0,0,0,0,0,2.97,4,12.97
1979,0,0,0,0,0,0,0,0,0,0,3.96,0.74,4.7
1980,0,1,0,3,1,0,5.97,1.94,3.6,0,0,NA,NA
