year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,4.4,NA,10.6,10.6,18.3,22.2,26.7,23.3,23.9,14.4,15,3.9,NA
1900,3.3,2.2,11.1,13.3,22.2,27.2,29.4,32.8,26.1,18.3,11.7,NA,NA
1901,4.4,1.1,5,10.6,21.1,19.4,26.7,26.7,21.7,17.8,6.1,0,0
1902,2.2,1.7,8.3,16.1,24.4,26.1,27.8,22.2,23.9,17.2,12.2,0,0
1903,5,2.8,12.2,16.1,17.2,24.4,23.9,25.6,23.3,8.3,1.7,2.8,1.7
1904,-1.1,3.3,11.7,12.8,21.1,26.1,26.7,23.3,24.4,17.2,10,2.2,-1.1
1905,-1.1,-1.1,8.9,13.9,22.2,26.7,23.9,22.2,23.3,13.3,9.4,4.4,-1.1
1906,4.4,2.2,8.3,13.3,18.3,25,27.2,27.2,22.2,14.4,10,2.2,2.2
1907,6.1,3.3,13.3,7.2,22.2,22.8,26.7,25,21.1,15,10,7.8,3.3
1908,3.3,2.8,12.2,15,19.4,25.6,26.7,21.7,22.2,15,8.3,9.4,2.8
1909,3.9,1.7,12.2,15.6,19.4,25,26.7,23.9,21.7,16.1,12.2,-1.1,-1.1
1910,4.4,4.4,9.4,17.2,22.2,22.8,21.1,25,23.3,7.2,5,3.3,3.3
1911,4.4,7.2,10,15.6,19.4,23.9,27.2,23.9,27.8,15.6,4.4,0,0
1912,-3.3,2.2,4.4,15.6,23.3,22.2,26.7,27.2,21.1,17.8,4.4,7.2,-3.3
1913,NA,4.4,12.8,14.4,21.7,NA,NA,NA,NA,13.9,NA,8.3,NA
1914,7.2,NA,3.3,12.2,20,24.4,30,23.9,20.6,16.7,2.8,2.8,NA
1915,6.7,10.6,10,5.6,21.1,25.6,30,28.9,23.3,17.8,13.3,4.4,4.4
1916,6.1,6.1,10,12.8,22.2,26.1,25.6,25,24.4,19.4,10,7.8,6.1
1917,3.9,0.6,7.8,17.8,18.9,22.8,26.7,26.7,18.9,13.3,4.4,-3.3,-3.3
1918,-2.2,4.4,15.6,12.8,20,24.4,27.2,26.7,21.7,22.8,8.3,5.6,-2.2
1919,5,7.2,16.7,18.3,21.1,23.3,26.1,25,25.6,21.1,12.8,10,5
1920,2.8,5,7.8,16.7,21.1,26.7,26.7,24.4,21.7,18.3,11.7,10,2.8
1921,2.8,8.3,12.2,18.3,20,25.6,26.1,25,30.6,19.4,15,15,2.8
1922,1.1,6.7,13.3,12.2,20.6,28.9,26.1,26.1,21.1,17.2,8.9,5.6,1.1
1923,7.2,3.9,10,13.9,21.7,27.8,27.8,28.9,26.7,17.8,12.2,8.9,3.9
1924,3.3,7.8,8.9,16.1,22.8,28.9,27.2,30.6,17.8,16.1,10.6,2.2,2.2
1925,3.9,11.1,13.3,16.1,21.7,29.4,31.1,26.1,23.9,11.7,10,1.7,1.7
1926,5,8.9,7.2,15.6,24.4,23.9,26.7,30.6,26.7,12.2,12.2,9.4,5
1927,5,13.9,5.6,17.8,22.2,22.8,25.6,21.7,25,19.4,13.9,6.7,5
1928,1.1,7.8,13.3,16.1,18.3,26.1,28.3,28.9,23.3,15.6,1.7,7.8,1.1
1929,NA,8.3,15,20,23.9,20.6,27.8,26.7,20,17.8,6.7,3.9,NA
1930,5.6,8.3,7.8,18.9,24.4,23.9,28.9,27.8,27.8,15.6,8.9,1.1,1.1
1931,6.1,10.6,10.6,12.8,21.1,28.3,32.8,26.1,25.6,18.3,15,12.8,6.1
1932,12.2,10.6,7.2,18.9,19.4,25,31.1,23.9,20.6,18.3,5,2.8,2.8
1933,6.7,1.7,12.8,19.4,28.3,26.1,24.4,26.7,27.2,17.2,12.2,10.6,1.7
1934,3.9,0,8.3,15,16.7,26.7,31.1,26.1,26.1,20.6,12.8,5.6,0
1935,5,8.3,15,14.4,17.8,29.4,26.1,27.2,21.7,17.8,8.3,0,0
1936,2.2,5.6,14.4,13.3,25.6,26.7,27.2,30,25.6,20,9.4,2.8,2.2
1937,7.2,6.1,10,17.8,21.7,28.9,25.6,28.9,20.6,13.9,5,5,5
1938,5.6,11.1,16.1,16.1,23.3,27.2,27.8,31.1,23.3,18.9,4.4,7.2,4.4
1939,10,6.1,12.8,15.6,18.3,26.1,28.9,26.7,23.9,17.8,10,6.1,6.1
1940,0.6,8.9,11.7,12.8,20.6,25,24.4,26.1,17.8,19.4,9.4,10.6,0.6
1941,5.6,7.8,9.4,18.9,22.8,25.6,28.9,28.3,26.1,21.1,14.4,9.4,5.6
1942,4.4,7.8,10.6,17.2,24.4,28.3,28.3,26.7,22.2,18.3,14.4,5.6,4.4
1943,7.8,3.9,7.8,15.6,24.4,29.4,27.8,28.3,23.3,17.2,13.3,0.6,0.6
1944,3.3,7.8,12.2,12.8,21.1,29.4,25,23.9,23.9,20,9.4,6.7,3.3
1945,8.3,7.2,18.3,15,18.9,26.1,27.2,27.2,22.2,19.4,10.6,4.4,4.4
1946,6.7,13.3,11.7,18.3,23.3,26.1,26.7,26.7,21.7,21.1,13.9,7.2,6.7
1947,8.9,3.3,8.3,18.9,23.9,17.2,27.8,25.6,19.4,21.1,6.7,6.1,3.3
1948,3.9,1.7,11.7,18.3,23.3,27.8,27.8,24.4,19.4,16.7,15,3.3,1.7
1949,7.2,8.3,11.1,16.7,23.9,25.6,26.1,26.7,22.2,22.2,13.3,4.4,4.4
1950,9.4,11.7,7.8,15.6,20,23.9,21.7,29.4,21.7,19.4,0,2.8,0
1951,6.7,3.9,7.2,17.8,21.7,27.2,26.7,31.1,23.3,15,7.8,5,3.9
1952,6.7,8.9,12.2,17.2,23.3,27.8,29.4,25,22.8,8.9,12.8,6.1,6.1
1953,7.8,8.9,15.6,16.1,26.7,27.8,27.8,25.6,22.8,19.4,11.7,3.9,3.9
1954,6.7,11.7,7.2,19.4,20,27.2,28.9,32.2,25,16.1,11.1,5,5
1955,6.1,0,11.1,19.4,25.6,21.1,31.1,25.6,21.1,20,7.2,3.3,0
1956,2.8,13.3,10,12.2,22.8,27.2,31.1,25,15.6,17.2,9.4,10,2.8
1957,4.4,12.2,7.2,18.3,13.3,23.9,25.6,26.7,16.7,15,10.6,1.1,1.1
1958,4.4,1.7,9.4,13.3,16.7,22.2,28.3,25,22.8,15,14.4,0.6,0.6
1959,3.3,7.8,10.6,12.2,23.9,27.8,27.2,29.4,22.2,16.7,7.2,5,3.3
1960,5,8.9,3.3,15.6,19.4,26.7,28.3,27.2,23.3,17.8,12.2,3.9,3.3
1961,0,0.6,12.2,16.7,21.1,17.8,28.9,24.4,18.3,17.2,NA,NA,NA
1962,2.2,14.4,7.2,16.1,23.3,26.1,28.9,27.8,18.9,18.3,NA,NA,NA
1963,NA,NA,NA,17.8,19.4,22.2,27.2,29.4,20.6,20.6,12.2,4.4,NA
1964,2.8,8.9,10,16.1,17.2,26.1,24.4,25,18.3,16.1,13.3,7.8,2.8
1965,3.3,5,8.9,NA,25,24.4,27.2,27.2,18.3,16.1,15.6,7.8,NA
1966,-3.3,8.9,9.4,20,22.2,25,26.1,25.6,23.9,20,11.7,7.2,-3.3
