year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,annual
1899,24.4,NA,28.3,30.6,36.1,40,39.4,37.8,36.7,30,26.1,23.9,NA
1900,20.6,23.9,26.1,30.6,33.3,36.1,37.8,39.4,35.6,32.8,27.8,NA,NA
1901,24.4,23.9,26.1,26.1,34.4,37.8,37.2,35,35,30.6,27.2,23.3,37.8
1902,23.3,21.1,28.9,29.4,35,37.8,39.4,37.2,32.8,31.7,28.3,22.2,39.4
1903,25,26.7,28.9,29.4,36.1,32.8,36.1,37.2,33.9,30.6,26.7,20,37.2
1904,23.3,26.1,29.4,31.1,33.9,36.1,37.8,34.4,33.9,36.1,23.3,22.8,37.8
1905,24.4,22.2,28.9,32.2,35.6,36.7,37.2,36.1,34.4,31.7,26.1,23.3,37.2
1906,25,23.9,26.7,33.3,35,37.2,36.1,34.4,32.8,29.4,26.7,24.4,37.2
1907,25,23.3,33.3,27.8,31.7,36.7,37.2,36.1,33.9,28.9,23.3,21.7,37.2
1908,24.4,21.1,30.6,31.7,32.8,33.3,35.6,35.6,32.2,28.3,26.1,25,35.6
1909,25.6,27.2,27.8,30.6,35,35.6,36.1,35.6,33.9,29.4,28.3,23.3,36.1
1910,26.1,23.3,30,35.6,34.4,35,35,35.6,35,31.1,22.8,25,35.6
1911,24.4,26.1,30.6,31.1,36.7,38.9,36.1,35,37.2,34.4,25.6,23.9,38.9
1912,23.3,25,28.9,30,36.1,37.2,36.1,36.1,41.1,30.6,26.7,26.1,41.1
1913,NA,25.6,30,31.1,37.2,NA,NA,NA,NA,31.7,NA,24.4,NA
1914,26.1,NA,30.6,33.3,37.2,38.9,38.3,35,34.4,30.6,30,24.4,NA
1915,24.4,23.9,26.1,31.7,35,36.7,37.2,35.6,35,32.2,29.4,25,37.2
1916,26.7,27.2,29.4,31.1,36.1,35,34.4,35.6,33.3,31.1,28.3,25.6,36.1
1917,26.1,28.3,30.6,32.8,34.4,35.6,35,35,35,30,25.6,24.4,35.6
1918,27.8,26.7,30.6,31.1,33.3,38.3,37.2,38.3,33.3,32.2,28.3,25,38.3
1919,25.6,21.7,25.6,32.8,32.8,34.4,36.7,35,34.4,34.4,30,29.4,36.7
1920,27.2,22.2,30,31.1,32.2,37.8,37.2,35.6,35,31.1,27.8,23.3,37.8
1921,23.9,29.4,32.2,31.7,35.6,38.3,35.6,36.7,36.7,31.1,29.4,25,38.3
1922,27.2,28.3,30,33.3,35,36.1,36.7,35,36.1,31.7,28.9,27.8,36.7
1923,26.1,27.2,30,33.3,30.6,33.9,36.1,36.1,35.6,30,23.3,26.1,36.1
1924,24.4,26.1,30.6,30,33.3,38.3,37.2,36.7,34.4,28.9,28.3,27.2,38.3
1925,23.9,26.7,30.6,33.9,34.4,37.8,37.2,39.4,41.7,34.4,27.2,25,41.7
1926,25,25.6,26.1,32.2,37.2,36.1,37.2,35.6,36.1,33.9,27.2,27.2,37.2
1927,27.2,28.9,29.4,32.8,38.3,37.2,36.7,36.1,36.7,32.2,28.3,27.2,38.3
1928,26.7,23.9,28.9,28.3,32.8,36.1,35,33.9,34.4,31.7,28.3,24.4,36.1
1929,NA,27.8,32.8,31.7,32.8,35.6,36.1,35.6,33.9,30,30,26.7,NA
1930,25.6,31.1,24.4,31.7,33.9,36.1,38.3,37.2,35.6,28.3,26.1,20.6,38.3
1931,24.4,23.3,25,30.6,32.8,38.3,40.6,38.9,38.9,31.7,28.9,28.3,40.6
1932,28.3,28.3,29.4,33.3,33.3,37.8,40,36.7,36.7,30.6,24.4,26.7,40
1933,25,27.8,29.4,29.4,35.6,39.4,38.3,36.7,36.1,33.9,27.8,27.2,39.4
1934,27.2,26.7,28.9,31.7,33.3,37.2,39.4,37.2,34.4,32.2,28.9,23.9,39.4
