title,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
prcp,1895,0,0,0,-31,0,0,0,0,0,0,0,0,-31
tmax,1895,0,0,0,-31,0,0,0,0,0,0,0,0,-31
tmin,1895,0,0,0,-31,0,0,0,0,0,0,0,0,-31
prcp,1896,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1896,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmin,1896,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
prcp,1897,-30,-31,-30,-11,-28,-31,-14,-4,-12,-14,-13,-6,-224
tmax,1897,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1897,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1898,-11,-30,-30,-31,-28,-10,-30,-31,-30,-31,-31,-30,-323
tmax,1898,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1898,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1899,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1899,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1899,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1900,-31,0,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-334
tmax,1900,-31,0,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-334
tmin,1900,-31,0,-30,-30,-28,-31,-30,-31,-30,-31,-31,-30,-333
prcp,1901,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1901,-31,-31,-30,-31,-28,-27,-30,-30,-26,-28,-31,-30,-353
tmin,1901,-31,-31,-30,-31,-28,-26,-30,-31,-28,-30,-30,-30,-356
prcp,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1903,-31,-31,-30,-31,-28,-31,-15,-31,-30,-31,-31,-30,-350
tmax,1903,-31,-31,-26,-30,-28,-31,-15,-31,-30,-31,-31,-30,-345
tmin,1903,-31,-31,-25,-31,-28,-31,-15,-31,-30,-31,-31,-30,-345
prcp,1904,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1904,-31,-31,-30,-30,-29,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1904,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
prcp,1905,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1905,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1905,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
