year,month,day,prcp,tmax,tmin
1897,1,19,0.00,13.33,0.00
1897,4,6,0.51,28.33,14.44
1897,4,7,-99.90,27.78,12.78
1897,4,11,2.79,13.89,5.00
1897,4,12,-99.90,20.56,6.67
1897,4,13,-99.90,23.89,8.33
1897,4,16,0.00,24.44,11.11
1897,4,17,-99.90,26.67,11.11
1897,4,18,-99.90,22.22,7.22
1897,4,19,-99.90,23.33,6.11
1897,4,20,-99.90,27.22,12.22
1897,4,21,-99.90,21.11,5.56
1897,4,22,-99.90,21.11,7.22
1897,4,23,-99.90,25.56,8.33
1897,4,24,-99.90,26.67,11.11
1897,4,27,0.00,27.22,11.67
1897,4,28,-99.90,30.00,12.78
1897,5,2,44.96,21.11,7.22
1897,5,3,-99.90,20.56,10.00
1897,5,4,-99.90,26.11,11.67
1897,5,5,-99.90,24.44,10.56
1897,5,6,-99.90,25.56,9.44
1897,5,7,-99.90,27.78,10.56
1897,5,8,-99.90,30.00,14.44
1897,5,9,-99.90,31.11,16.67
1897,5,10,-99.90,28.89,17.22
1897,5,11,-99.90,30.00,18.89
1897,5,14,24.89,27.78,18.33
1897,5,15,-99.90,30.56,16.11
1897,5,16,-99.90,28.33,13.33
1897,5,17,-99.90,25.56,12.78
1897,5,18,-99.90,25.56,11.11
1897,5,19,-99.90,26.67,11.67
1897,5,20,-99.90,29.44,10.56
1897,5,21,-99.90,31.67,16.11
1897,5,22,-99.90,32.78,18.33
1897,5,23,-99.90,31.11,18.33
1897,5,24,-99.90,31.67,18.33
1897,5,25,-99.90,33.33,17.78
1897,5,26,-99.90,27.22,11.67
1897,5,27,-99.90,25.56,9.44
1897,5,28,-99.90,30.00,15.56
1897,5,29,-99.90,33.33,17.22
1897,5,30,-99.90,33.89,19.44
1897,5,31,-99.90,31.11,18.89
1897,6,1,-99.90,32.78,17.22
1897,6,2,-99.90,33.33,19.44
1897,6,6,1.27,28.89,20.56
1897,6,9,0.51,26.67,16.67
1897,6,10,-99.90,31.11,19.44
1897,6,12,3.30,33.89,20.00
1897,6,13,-99.90,36.67,20.56
1897,6,14,-99.90,37.22,20.56
1897,6,15,-99.90,38.33,23.33
1897,6,17,0.00,34.44,22.78
1897,6,20,0.00,37.22,21.67
1897,6,21,-99.90,36.67,20.00
1897,6,22,-99.90,31.67,22.22
1897,6,23,-99.90,32.22,18.89
1897,6,24,-99.90,32.78,21.11
1897,6,26,0.00,39.44,21.67
1897,6,29,37.85,37.22,21.67
1897,6,30,-99.90,35.00,23.33
1897,7,1,-99.90,37.78,25.56
1897,7,2,-99.90,38.89,25.56
1897,7,4,2.79,36.67,23.33
1897,7,5,-99.90,35.00,22.78
1897,7,6,-99.90,35.00,22.78
1897,7,7,-99.90,33.33,21.11
1897,7,13,13.72,32.22,21.67
1897,7,14,-99.90,32.22,16.67
1897,7,15,-99.90,30.56,15.56
1897,7,16,-99.90,33.33,18.33
1897,7,18,3.05,34.44,20.00
1897,7,23,0.00,33.89,21.67
1897,7,24,-99.90,35.56,21.67
1897,7,28,0.00,34.44,21.67
1897,7,29,-99.90,33.89,19.44
1897,7,30,-99.90,34.44,20.00
1897,8,1,0.00,36.67,21.67
1897,8,2,-99.90,36.67,23.33
1897,8,3,-99.90,36.11,22.22
1897,8,4,-99.90,33.89,20.56
1897,8,8,0.00,21.67,18.33
1897,8,10,0.00,30.56,21.11
1897,8,11,-99.90,27.22,21.67
1897,8,12,-99.90,32.78,20.56
1897,8,13,-99.90,33.89,22.78
1897,8,22,31.50,26.11,20.00
1897,8,23,-99.90,30.56,21.11
1897,8,24,-99.90,30.56,18.89
1897,8,25,-99.90,31.11,15.56
1897,8,26,-99.90,31.67,17.78
1897,8,27,-99.90,33.89,18.89
1897,8,28,-99.90,35.00,21.67
1897,8,29,-99.90,36.11,22.22
1897,8,30,-99.90,36.67,18.89
1897,9,1,23.88,35.56,17.22
1897,9,3,0.00,34.44,21.67
1897,9,4,-99.90,30.56,16.67
1897,9,5,-99.90,27.22,18.89
1897,9,6,-99.90,28.33,20.00
1897,9,7,-99.90,31.67,19.44
1897,9,8,-99.90,32.22,17.78
1897,9,9,-99.90,32.78,18.33
1897,9,10,-99.90,32.78,17.22
1897,9,11,-99.90,32.78,20.00
1897,9,12,-99.90,29.44,17.78
1897,9,13,-99.90,32.22,17.78
1897,9,14,-99.90,33.33,17.22
1897,9,15,-99.90,35.56,18.33
1897,9,16,-99.90,37.78,22.78
1897,9,19,4.57,31.67,19.44
1897,9,20,-99.90,31.11,17.78
1897,9,23,29.97,12.78,8.33
1897,9,24,-99.90,20.56,9.44
1897,9,25,-99.90,29.44,11.67
1897,9,26,-99.90,31.11,12.78
1897,9,27,-99.90,31.67,15.00
1897,9,28,-99.90,33.89,17.22
1897,9,29,-99.90,26.11,13.89
1897,11,30,0.00,12.78,2.22
1897,12,1,-99.90,11.67,-0.56
1897,12,5,7.37,17.78,7.22
1897,12,6,-99.90,11.11,-1.11
1897,12,7,-99.90,13.33,-1.11
1897,12,8,-99.90,18.33,0.56
1897,12,9,-99.90,18.33,1.67
1897,12,10,-99.90,23.33,4.44
1897,12,11,-99.90,25.00,9.44
1897,12,12,-99.90,24.44,11.67
1897,12,15,3.81,16.11,3.33
1897,12,16,-99.90,13.89,0.56
1897,12,17,-99.90,18.89,0.00
1897,12,20,0.25,8.33,3.33
1897,12,23,0.00,17.22,2.22
1897,12,24,-99.90,12.22,1.67
1897,12,27,0.00,5.56,-2.22
1897,12,28,-99.90,11.11,-1.67
1897,12,29,-99.90,13.33,-3.33
1897,12,30,-99.90,14.44,-3.33
1897,12,31,-99.90,19.44,5.00
1898,1,1,-99.90,18.33,-2.22
1898,1,2,-99.90,4.44,-8.33
1898,1,3,-99.90,4.44,-7.22
1898,1,4,-99.90,11.11,-2.78
1898,1,5,-99.90,17.22,-1.11
1898,1,7,0.00,17.22,5.56
1898,1,8,-99.90,17.22,3.89
1898,1,9,-99.90,18.89,5.56
1898,1,13,0.00,23.33,15.00
1898,1,14,-99.90,23.33,6.67
1898,1,16,2.54,26.67,9.44
1898,1,17,-99.90,15.56,1.67
1898,1,18,-99.90,10.56,2.22
1898,1,21,6.35,22.22,2.78
1898,1,23,0.76,24.44,7.78
1898,1,26,1.78,21.11,6.11
1898,1,27,-99.90,17.22,0.00
1898,1,28,-99.90,10.56,-0.56
1898,1,29,-99.90,13.89,0.00
1898,3,1,0.25,9.44,-1.11
1898,3,5,0.25,6.67,-1.11
1898,3,8,0.76,13.89,4.44
1898,3,9,-99.90,19.44,6.11
1898,3,10,-99.90,21.11,7.78
1898,3,11,-99.90,23.33,10.56
1898,3,12,-99.90,25.00,12.22
1898,3,15,14.22,18.33,13.89
1898,3,16,-99.90,21.11,12.78
1898,3,17,-99.90,21.67,12.78
1898,3,18,-99.90,27.22,13.89
1898,3,19,-99.90,30.56,11.67
1898,3,20,-99.90,31.11,15.56
1898,3,21,-99.90,31.67,16.11
1898,3,22,-99.90,30.00,15.00
1898,3,23,-99.90,30.56,15.56
1898,3,24,-99.90,31.67,15.56
1898,3,25,-99.90,30.00,13.89
1898,3,26,-99.90,18.33,10.00
1898,3,27,-99.90,23.89,11.11
1898,3,28,-99.90,26.67,13.89
1898,9,30,0.00,26.67,19.44
1915,12,19,0.00,15.00,0.00
1928,5,31,0.00,30.56,15.00
1928,6,1,-99.90,33.33,17.78
1928,6,3,2.29,26.67,20.00
1928,6,4,-99.90,36.67,22.22
1928,6,7,12.19,21.11,15.00
1928,6,8,-99.90,36.11,12.78
1928,6,9,-99.90,34.44,23.33
1928,6,10,-99.90,33.89,26.11
1928,6,11,-99.90,34.44,20.56
1928,6,13,2.79,31.11,18.89
1928,6,14,-99.90,34.44,21.11
1928,6,17,17.78,29.44,17.22
1928,6,18,-99.90,31.67,17.22
1928,6,19,-99.90,33.33,21.11
1928,6,20,-99.90,33.33,22.22
1928,6,21,-99.90,36.67,22.22
1928,6,26,0.51,28.89,19.44
1928,7,31,0.00,31.11,18.33
1928,8,1,-99.90,33.33,18.89
1928,8,2,-99.90,35.00,22.22
1928,8,3,-99.90,35.00,22.78
1928,8,5,27.94,32.78,26.67
1928,8,6,-99.90,35.56,21.11
1928,8,7,-99.90,33.33,21.11
1928,8,8,-99.90,33.89,22.22
1928,8,9,-99.90,29.44,23.33
1928,8,11,138.43,31.67,#VALUE!
1928,8,13,5.84,30.00,#VALUE!
1928,8,15,4.57,27.22,#VALUE!
1928,8,16,-99.90,21.11,23.89
1928,8,17,-99.90,32.78,22.22
1928,8,21,1.27,22.78,21.67
1928,8,22,-99.90,33.89,22.22
1928,8,23,-99.90,30.56,21.11
1928,8,24,-99.90,33.89,22.78
1928,8,25,-99.90,35.00,22.22
1928,8,29,1.78,#VALUE!,#VALUE!
1928,8,30,-99.90,30.00,#VALUE!
1928,8,31,-99.90,31.67,22.22
1928,9,6,29.97,27.78,19.44
1928,9,7,-99.90,27.22,18.33
1928,9,8,-99.90,25.00,18.33
1928,9,9,-99.90,27.78,17.22
1928,9,10,-99.90,26.67,18.33
1928,9,12,0.00,26.67,21.11
1928,9,13,-99.90,31.67,21.11
1928,9,14,-99.90,33.33,22.22
1928,9,15,-99.90,33.89,21.67
1928,9,16,-99.90,28.33,18.89
1928,9,19,35.56,26.67,15.00
1928,9,20,-99.90,29.44,12.78
1928,9,21,-99.90,27.78,16.11
1928,9,22,-99.90,27.78,20.00
1928,9,24,2.54,23.89,15.00
1928,9,25,-99.90,23.33,10.56
1928,9,26,-99.90,23.89,11.11
1928,9,27,-99.90,21.67,11.11
1928,9,28,-99.90,22.78,11.11
1928,9,29,-99.90,23.89,16.11
1928,10,31,5.08,#VALUE!,5.00
1928,11,1,-99.90,15.56,7.22
1928,11,2,-99.90,16.11,12.78
1928,11,3,-99.90,17.78,13.89
1928,11,4,-99.90,17.78,12.22
1928,11,5,-99.90,17.22,5.56
1928,11,6,-99.90,18.89,8.33
1928,11,8,2.29,18.89,10.00
1928,11,9,-99.90,18.89,5.56
1928,11,10,-99.90,13.33,7.78
1928,11,11,-99.90,11.67,2.22
1928,11,12,-99.90,16.67,3.89
1928,11,13,-99.90,12.78,3.33
1928,11,14,-99.90,16.11,3.33
1928,11,15,-99.90,20.00,10.56
1928,11,16,-99.90,20.00,12.78
1928,11,17,-99.90,23.89,14.44
1928,11,18,-99.90,24.44,15.00
1928,11,19,-99.90,22.22,18.33
1928,11,20,-99.90,18.33,5.00
1928,11,21,-99.90,10.00,-1.67
1928,11,22,-99.90,12.22,3.89
1928,11,23,-99.90,8.33,-0.56
1928,11,24,-99.90,12.22,0.00
1928,11,25,-99.90,12.78,3.33
1928,11,26,-99.90,9.44,-5.00
1928,11,27,-99.90,10.56,-2.22
1928,11,28,-99.90,12.78,1.67
1928,11,29,-99.90,21.11,3.33
1929,11,1,0.00,28.89,17.78
1929,11,2,-99.90,29.44,16.11
1929,11,5,10.67,17.22,5.56
1929,11,6,-99.90,19.44,2.78
1929,11,8,2.79,20.00,12.22
1929,11,9,-99.90,22.22,13.33
1929,11,10,-99.90,17.78,5.56
1929,11,12,0.51,36.67,15.56
1929,11,13,-99.90,26.67,15.00
1929,11,14,-99.90,27.22,16.11
1929,11,15,-99.90,29.44,18.33
1929,11,16,-99.90,26.11,16.67
1929,11,18,0.51,21.67,7.78
1929,11,19,-99.90,20.00,5.00
1929,11,20,-99.90,18.89,2.78
1929,11,21,-99.90,14.44,2.78
1929,11,23,13.21,4.44,1.11
1929,11,24,-99.90,7.78,2.78
1929,11,27,10.92,10.56,7.78
1929,11,28,-99.90,18.33,7.22
1929,11,29,-99.90,14.44,8.89
1932,12,16,1.27,14.44,3.33
1932,12,17,-99.90,1.11,-1.67
1934,2,10,0.00,-0.56,-8.33
1934,2,11,-99.90,0.56,-5.56
1937,5,13,0.00,31.11,16.67
1937,12,1,0.00,17.22,2.78
1940,4,8,6.35,25.56,15.56
1940,8,16,1.78,30.00,22.78
1940,10,30,10.41,28.33,16.67
1940,12,28,0.00,#VALUE!,#VALUE!
1940,12,29,-99.90,21.67,#VALUE!
1941,1,1,0.00,20.56,5.56
1941,1,2,-99.90,17.78,9.44
1942,7,9,0.00,33.89,21.67
1942,8,10,10.41,33.89,19.44
1942,8,11,-99.90,32.78,20.00
1949,1,4,0.00,18.89,4.44
1949,1,5,-99.90,18.33,8.33
1949,3,28,0.00,30.00,15.00
1950,4,4,0.00,28.33,12.78
1951,3,7,1.27,19.44,11.67
1951,3,8,-99.90,21.11,13.89
1951,3,11,2.54,12.22,5.00
1951,3,12,-99.90,6.11,3.89
1951,3,29,0.00,22.78,12.22
1951,3,30,-99.90,21.67,15.00
1953,12,24,0.00,14.44,2.78
1953,12,25,-99.90,5.00,2.22
1955,2,5,0.00,4.44,-1.11
1955,2,6,-99.90,14.44,2.22
1960,2,12,0.00,16.67,0.00
1960,2,13,-99.90,16.11,2.22
1968,2,11,0.00,10.00,-1.11
1980,6,18,29.46,26.67,18.89
2000,7,21,0.00,38.89,18.89
2000,7,22,-99.90,#VALUE!,#VALUE!
2000,7,28,0.00,32.22,15.56
2000,7,29,-99.90,#VALUE!,#VALUE!
2000,9,1,0.25,30.00,16.11
2000,9,2,-99.90,#VALUE!,#VALUE!
2000,9,3,-99.90,#VALUE!,#VALUE!
2000,9,6,7.87,25.56,12.22
2000,9,7,-99.90,#VALUE!,#VALUE!
2000,9,8,-99.90,#VALUE!,#VALUE!
2000,9,9,-99.90,#VALUE!,#VALUE!
2000,9,10,-99.90,#VALUE!,#VALUE!
2000,9,15,0.00,32.22,15.00
2000,9,16,-99.90,#VALUE!,#VALUE!
2000,9,17,-99.90,#VALUE!,#VALUE!
2000,9,22,0.00,32.78,17.22
2000,9,23,-99.90,#VALUE!,#VALUE!
2000,9,24,-99.90,#VALUE!,#VALUE!
2000,10,6,0.00,32.22,12.22
2000,10,7,-99.90,#VALUE!,#VALUE!
2000,11,3,0.00,28.33,6.11
2000,11,4,-99.90,#VALUE!,#VALUE!
2000,11,5,-99.90,#VALUE!,#VALUE!
2000,11,6,-99.90,#VALUE!,#VALUE!
2000,11,10,0.25,26.67,5.00
2000,11,11,-99.90,#VALUE!,#VALUE!
2000,11,12,-99.90,#VALUE!,#VALUE!
2000,11,17,6.35,16.67,4.44
2000,11,18,-99.90,#VALUE!,#VALUE!
2000,11,22,0.00,10.56,-11.11
2000,11,23,-99.90,#VALUE!,#VALUE!
2000,11,24,-99.90,#VALUE!,#VALUE!
2000,11,25,-99.90,#VALUE!,#VALUE!
2000,11,30,0.00,21.11,-3.89
2001,1,1,-99.90,#VALUE!,#VALUE!
2001,1,5,0.00,11.11,-8.89
2001,1,6,-99.90,#VALUE!,#VALUE!
2001,1,12,12.70,16.67,1.11
2001,1,13,-99.90,#VALUE!,#VALUE!
2001,1,19,0.25,18.33,5.56
2001,1,20,-99.90,#VALUE!,#VALUE!
2001,2,2,0.00,20.00,1.11
2001,2,3,-99.90,#VALUE!,#VALUE!
2001,2,9,0.00,22.78,0.56
2001,2,10,-99.90,#VALUE!,#VALUE!
2001,2,16,0.25,23.89,8.33
2001,2,17,-99.90,#VALUE!,#VALUE!
2001,2,23,10.67,26.11,-2.22
2001,2,24,-99.90,#VALUE!,#VALUE!
2001,3,2,0.25,22.78,3.89
2001,3,3,-99.90,#VALUE!,#VALUE!
2001,3,9,0.00,18.89,0.00
2001,3,10,-99.90,#VALUE!,#VALUE!
2001,3,16,0.25,26.11,6.11
2001,3,17,-99.90,#VALUE!,#VALUE!
2001,3,18,-99.90,#VALUE!,#VALUE!
2001,3,21,17.02,13.89,6.11
2001,3,22,-99.90,#VALUE!,#VALUE!
2001,3,23,-99.90,#VALUE!,#VALUE!
2001,3,24,-99.90,#VALUE!,#VALUE!
2001,3,31,0.00,#VALUE!,#VALUE!
2001,4,13,0.00,31.67,17.78
2001,4,14,-99.90,#VALUE!,#VALUE!
2001,5,4,0.00,28.33,11.11
2001,5,5,-99.90,#VALUE!,#VALUE!
2001,5,11,0.00,28.33,13.33
2001,5,12,-99.90,#VALUE!,#VALUE!
2001,5,18,0.00,32.22,20.56
2001,5,19,-99.90,#VALUE!,#VALUE!
2001,5,25,0.00,31.11,16.67
