year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1896,2,22,2.12,1.67,34.29,-13.58,-10,22.4,-0.02,11.67,27.57
1896,3,25,7.22,6.67,37.24,-6.27,1.67,21.86,0.48,5,28.17
1896,12,2,2.26,1.11,31.19,-13.35,-0.56,19.3,-0.19,1.67,27.69
1897,7,15,25.66,30.56,41.29,15.7,15.56,26.61,4.21,15,20.43
1897,8,8,24.77,21.67,41,14.89,18.33,26.96,3.98,3.34,19.94
1897,9,22,18.69,15,40.91,5.96,8.33,28.02,2.39,6.67,23.26
1897,9,23,18.14,12.78,40.77,4.24,8.33,28.01,2.6,4.45,24.19
1898,4,28,14.12,11.67,39.96,0.81,2.22,23.5,3.67,9.45,26.19
1898,7,12,24.73,24.44,41.36,15.11,15,26.57,4.32,9.44,20.12
1898,7,13,23.83,20.56,42.33,14.59,15,27.24,3.87,5.56,20.46
1898,8,30,22.21,27.78,40.96,13.01,26.11,26.72,1.92,1.67,21.51
1898,9,9,21.81,20,40.69,10.42,15,26.76,3.29,5,22.03
1899,2,13,-2.67,-5.56,34.45,-13.64,-13.89,18.22,-1.86,8.33,29.05
1899,2,14,-1.77,-9.44,34.59,-14.17,-19.44,19.78,-0.79,10,28
1899,2,15,0.33,0,34.52,-13.1,-13.89,19.93,0.77,13.89,27.25
1899,3,8,1.85,-0.56,36.41,-11.25,-7.22,21.05,-0.53,6.66,28.96
1899,3,29,8.82,28.89,36.31,-5.86,1.11,23.12,2.19,27.78,25.51
1899,6,18,21.97,20.56,42.47,12.5,13.33,26.55,4.19,7.23,21.2
1899,6,19,22.02,23.89,42.8,12.73,11.67,26.35,3.85,12.22,21.89
1899,7,2,23.11,30,42.95,14.04,13.89,27.1,3.57,16.11,21.35
1901,2,23,0.69,0,34.61,-12.8,-1.67,22.08,-1.67,1.67,27.78
1901,4,20,12.37,10,39,-0.7,6.11,23.62,1.36,3.89,27.18
1901,4,21,13.15,10,39.51,-1.59,3.89,24.24,2.94,6.11,27.17
1901,4,22,15.05,15,37.53,-1.24,0.56,24.47,2.94,14.44,26.49
1901,5,31,20.26,19.44,41.44,8.88,15,25.8,3.7,4.44,23.33
1901,6,15,22.12,22.22,42.32,11.78,22.22,27.01,2.6,0,23.05
1901,6,23,23.16,25.56,42.84,13.15,21.67,26.84,4.45,3.89,21.56
1901,12,25,-3.9,26.67,33.53,-15.47,-1.11,20.61,-2.31,27.78,26.8
1902,7,25,25.34,33.33,41.07,15.78,13.89,26.69,4.36,19.44,19.65
1902,8,28,22.18,20.56,41.72,12.99,18.89,26.73,2.23,1.67,21.95
1902,9,9,21.81,26.67,40.69,10.42,25,26.76,3.29,1.67,22.03
1903,3,29,8.82,15,36.31,-5.86,13.33,23.12,2.19,1.67,25.51
1903,6,13,22.09,24.44,42.35,10.97,10.56,27.58,2.58,13.88,23.34
1903,6,14,23.21,28.89,41.42,11.35,11.11,27.15,3.69,17.78,22.45
1903,10,24,11.64,8.33,36.47,-4.24,7.22,23.22,0.59,1.11,28.43
1904,4,21,13.15,12.78,39.51,-1.59,6.11,24.24,2.94,6.67,27.17
1905,8,3,25.08,35,40.76,16.47,16.11,25.71,4.57,18.89,19.08
1906,10,10,15.6,15.56,36.77,-1.56,2.22,27.47,-0.49,13.34,26.92
1907,5,12,17.99,17.78,40.13,3.32,11.11,26.13,3.79,6.67,24.75
1907,10,13,16.5,15.56,36.41,-1.81,3.33,25.96,2.37,12.23,26.44
1908,2,28,-0.42,26.67,36.12,-13.06,-2.78,22.72,-1.63,29.45,27.68
1909,3,9,2.33,17.22,35.92,-11.31,17.22,20.67,0.93,0,28.05
1909,6,2,20.92,26.67,41.95,9.59,23.89,26.07,3.9,2.78,23.31
1909,7,7,23.77,21.67,41.42,14.81,21.11,26.79,2.97,0.56,20.59
1909,9,2,23.41,30,40.65,12.44,12.22,26.65,3.65,17.78,21.32
1910,7,18,24.3,21.11,41.95,15.72,17.78,26.31,3.67,3.33,20.54
1911,7,25,25.34,32.78,41.07,15.78,15.56,26.69,4.36,17.22,19.65
1911,7,26,25.86,35,40.62,15.64,15.56,26.51,4.69,19.44,19.67
1912,6,7,21.27,21.11,41.73,11.08,18.89,26.12,2.12,2.22,23.67
1913,6,9,21.72,16.67,42.07,10.93,15.56,26.43,3.05,1.11,23.37
1913,6,10,21.21,12.78,42.57,9.89,10,27.64,1.56,2.78,24.7
1913,6,11,23.51,NA,40.98,11.07,10,27.06,3.56,NA,22.67
1913,6,12,22.45,22.78,41.77,10.41,7.78,27.73,2.98,15,23.1
1913,6,13,22.09,32.22,42.35,10.97,10.56,27.58,2.58,21.66,23.34
1913,6,16,22.51,38.89,41.97,11.73,16.67,26.93,3.64,22.22,22.2
1913,9,21,19.69,17.78,40.22,7.13,16.11,27.91,2.16,1.67,22.69
1914,6,25,23.54,42.22,42.21,14.41,23.33,26.25,3.72,18.89,21.37
1914,7,26,25.86,41.67,40.62,15.64,23.33,26.51,4.69,18.34,19.67
1914,7,30,25.24,30.56,42.11,15.58,15,26.89,4.32,15.56,20.55
1914,11,20,5.05,5,33.94,-9.47,-6.11,21.07,-0.44,11.11,27.99
1915,5,11,17.83,18.89,39.58,3.23,17.78,25.4,3.38,1.11,25.36
1915,7,26,25.86,37.22,40.62,15.64,16.67,26.51,4.69,20.55,19.67
1915,7,27,25.75,38.33,40.9,15.98,18.33,26.45,4.3,20,19.91
