year,month,day,prcp,tmax,tmin
1901,3,22,0.00,19.44,-1.11
1901,3,25,2.29,28.33,#VALUE!
1901,3,29,0.00,25.00,#VALUE!
1901,3,30,0.51,#VALUE!,8.33
1901,5,23,0.00,31.67,17.22
1901,6,12,1.27,31.11,21.11
1901,6,15,3.30,22.22,22.22
1901,6,19,0.00,31.11,18.89
1901,6,21,0.00,33.33,25.00
1901,7,13,0.00,33.33,23.33
1901,7,16,0.00,32.78,22.78
1901,7,24,0.00,35.00,22.22
1903,11,20,0.00,10.56,#VALUE!
1903,11,21,0.00,#VALUE!,#VALUE!
1903,11,24,0.00,20.00,2.78
1903,11,25,0.00,#VALUE!,3.33
1903,11,30,0.00,10.00,1.67
1904,12,30,0.00,14.44,-5.00
1912,8,3,0.00,36.11,20.00
1913,6,10,15.24,12.78,10.00
1916,2,3,25.40,10.00,0.56
1916,2,4,0.00,#VALUE!,-2.22
1916,2,18,0.00,23.89,3.33
1916,2,19,0.00,#VALUE!,2.22
1916,2,21,0.00,24.44,3.89
1916,2,29,25.40,11.11,2.78
1916,3,3,15.24,15.56,#VALUE!
1916,3,6,0.00,24.44,6.67
1916,3,7,0.00,#VALUE!,7.78
1916,3,11,0.00,12.78,7.22
1916,12,30,7.62,12.78,1.11
1917,9,30,53.34,28.89,18.33
1917,10,1,0.00,#VALUE!,7.22
1917,10,2,0.00,#VALUE!,7.78
1917,10,3,0.00,#VALUE!,7.78
1917,10,4,0.00,#VALUE!,10.56
1917,10,5,0.00,#VALUE!,13.89
1917,10,6,5.08,#VALUE!,13.33
1917,10,7,0.00,#VALUE!,6.11
1917,10,8,0.00,#VALUE!,7.78
1917,10,9,0.00,#VALUE!,11.67
1917,10,10,3.81,#VALUE!,6.67
1917,10,11,0.00,#VALUE!,4.44
1917,10,12,0.00,#VALUE!,7.78
1917,10,13,0.00,#VALUE!,2.22
1917,10,14,0.00,#VALUE!,2.22
1917,10,15,0.00,#VALUE!,3.89
1917,10,16,0.00,#VALUE!,2.22
1917,10,17,0.00,#VALUE!,11.11
1917,10,18,0.00,#VALUE!,12.22
1917,10,19,0.00,#VALUE!,13.33
1917,10,20,5.59,#VALUE!,17.78
1917,10,21,0.00,#VALUE!,10.56
1917,10,22,0.00,#VALUE!,6.11
1917,10,23,0.00,#VALUE!,0.56
1917,10,24,0.00,#VALUE!,2.78
1917,10,25,0.00,#VALUE!,0.00
1917,10,26,0.00,#VALUE!,-0.56
1917,10,27,0.00,#VALUE!,4.44
1917,10,28,0.00,#VALUE!,8.89
1917,10,29,0.00,#VALUE!,8.89
1917,10,30,0.00,#VALUE!,13.33
1919,3,31,0.00,24.44,8.89
1919,4,1,0.00,#VALUE!,0.00
1919,4,2,0.00,#VALUE!,3.33
1919,4,3,0.00,#VALUE!,3.33
1919,4,4,0.00,#VALUE!,#VALUE!
1919,4,5,25.40,#VALUE!,9.44
1919,4,6,0.00,#VALUE!,10.00
1919,4,7,0.00,#VALUE!,#VALUE!
1919,4,8,0.00,#VALUE!,13.89
1919,4,9,0.00,#VALUE!,13.33
1919,4,10,0.00,#VALUE!,15.56
1919,4,11,5.08,#VALUE!,#VALUE!
1919,4,12,25.40,#VALUE!,#VALUE!
1919,4,13,0.00,#VALUE!,10.00
1919,4,14,0.00,#VALUE!,13.33
1919,4,15,0.00,#VALUE!,13.33
1919,4,16,0.00,#VALUE!,16.67
1919,4,17,7.62,#VALUE!,9.44
1919,4,18,0.00,#VALUE!,6.11
1919,4,19,0.00,#VALUE!,6.11
1919,4,20,0.00,#VALUE!,#VALUE!
1919,4,21,0.00,#VALUE!,#VALUE!
1919,4,22,0.00,#VALUE!,14.44
1919,4,23,0.00,#VALUE!,14.44
1919,4,24,0.00,#VALUE!,12.78
1919,4,25,0.00,#VALUE!,#VALUE!
1919,4,26,0.00,#VALUE!,#VALUE!
1919,4,27,0.00,#VALUE!,#VALUE!
1919,4,28,0.00,#VALUE!,#VALUE!
1919,4,29,0.00,#VALUE!,12.22
1919,4,30,0.00,#VALUE!,#VALUE!
1919,10,12,0.00,33.89,18.89
1919,10,15,0.00,30.00,16.11
1919,10,20,0.00,26.67,13.33
1919,10,24,0.00,28.89,18.33
1919,10,25,0.00,#VALUE!,16.67
1919,10,30,0.00,32.78,18.33
1919,12,18,0.00,16.67,1.11
1919,12,19,0.00,#VALUE!,1.11
1919,12,20,0.00,#VALUE!,0.56
1921,7,3,0.00,34.44,19.44
1921,7,4,6.35,#VALUE!,18.89
1921,7,5,0.00,#VALUE!,20.00
1921,7,6,2.54,#VALUE!,19.44
1921,7,7,0.00,#VALUE!,18.89
1921,7,20,17.78,27.22,#VALUE!
1921,7,30,0.00,37.22,21.67
1922,2,23,0.00,21.11,6.11
1922,3,6,63.50,20.56,#VALUE!
1922,3,10,0.00,24.44,#VALUE!
1922,3,11,0.00,#VALUE!,8.33
1922,3,12,0.00,#VALUE!,10.00
1922,3,15,0.00,22.78,11.67
1922,3,17,0.00,25.56,9.44
1922,3,18,30.48,#VALUE!,5.56
1922,3,19,0.00,#VALUE!,#VALUE!
1922,3,23,0.00,15.56,3.33
1922,3,24,0.00,#VALUE!,7.22
1922,3,25,0.00,#VALUE!,3.89
1922,3,26,3.81,#VALUE!,#VALUE!
1922,3,30,0.00,28.33,15.56
1922,5,30,0.00,26.11,17.78
1923,2,28,0.00,22.78,10.56
1923,3,1,0.00,#VALUE!,6.11
1923,3,2,0.00,#VALUE!,1.67
1923,3,3,0.00,#VALUE!,4.44
1923,3,4,0.00,#VALUE!,12.78
1923,3,5,0.00,#VALUE!,12.78
1923,3,6,0.00,#VALUE!,13.33
1923,3,7,29.97,#VALUE!,11.67
1923,3,8,0.00,#VALUE!,1.67
1923,3,9,0.00,#VALUE!,7.22
1923,3,10,0.00,#VALUE!,13.89
1923,3,11,0.00,#VALUE!,16.11
1923,3,12,0.00,#VALUE!,15.00
1923,3,13,7.62,#VALUE!,5.00
1923,3,14,0.00,#VALUE!,4.44
1923,3,15,0.00,#VALUE!,5.00
1923,3,16,8.38,#VALUE!,15.56
1923,3,17,20.32,#VALUE!,7.78
1923,3,18,0.00,#VALUE!,6.11
1923,3,19,41.91,#VALUE!,7.22
1923,3,20,0.00,#VALUE!,-3.33
1923,3,21,0.00,#VALUE!,2.22
1923,3,22,0.00,#VALUE!,18.33
1923,3,23,0.00,#VALUE!,11.67
1923,3,24,0.00,#VALUE!,4.44
1923,3,25,0.00,#VALUE!,3.33
1923,3,26,0.00,#VALUE!,10.56
1923,3,27,2.54,#VALUE!,12.78
1923,3,28,0.00,#VALUE!,13.89
1923,3,29,2.54,#VALUE!,6.11
1923,3,30,13.46,#VALUE!,6.11
1924,4,9,0.00,32.78,14.44
1924,4,24,0.00,26.11,6.67
1924,4,28,0.00,24.44,8.33
1924,4,30,8.89,28.89,12.22
1924,5,1,0.00,#VALUE!,10.00
1924,5,2,0.00,#VALUE!,8.33
