year,month,day,prcp,tmax,tmin
1900,12,15,1.78,11.67,0.00
1901,3,23,0.00,#VALUE!,5.56
1901,3,24,6.10,21.67,#VALUE!
1901,3,25,2.29,28.33,#VALUE!
1901,3,28,0.00,23.89,8.33
1901,3,30,0.51,#VALUE!,8.33
1901,6,13,16.76,#VALUE!,21.11
1901,6,15,3.30,22.22,22.22
1901,7,27,21.84,32.78,21.67
1901,8,13,15.75,32.78,22.78
1903,11,18,6.10,16.67,6.67
1903,11,19,0.00,7.22,#VALUE!
1903,11,20,0.00,10.56,#VALUE!
1903,11,21,0.00,#VALUE!,#VALUE!
1903,11,25,0.00,#VALUE!,3.33
1906,12,23,0.00,1.11,-6.67
1906,12,27,0.00,14.44,-4.44
1908,8,30,0.00,31.11,16.11
1909,4,30,23.37,21.67,17.22
1912,3,31,0.00,29.44,11.67
1912,8,4,0.00,#VALUE!,20.00
1916,3,2,3.05,23.89,6.67
1918,4,23,0.00,26.67,11.67
1918,8,18,0.00,33.89,21.11
1918,8,19,0.00,26.11,#VALUE!
1918,8,20,0.00,29.44,#VALUE!
1918,8,21,0.00,30.56,#VALUE!
1918,8,22,0.00,32.22,#VALUE!
1918,10,31,6.35,26.67,16.67
1918,11,1,0.00,18.33,#VALUE!
1918,11,2,0.00,19.44,#VALUE!
1918,11,3,0.00,18.89,#VALUE!
1918,11,4,0.00,20.56,#VALUE!
1918,11,5,0.00,20.00,#VALUE!
1918,11,6,0.00,21.11,#VALUE!
1918,11,7,0.00,22.22,#VALUE!
1918,11,8,0.00,23.89,#VALUE!
1918,11,9,0.00,26.11,#VALUE!
1918,11,10,0.00,26.67,#VALUE!
1918,11,11,0.00,27.22,#VALUE!
1918,11,12,0.00,26.67,#VALUE!
1918,11,13,0.00,24.44,#VALUE!
1918,11,14,0.00,23.33,#VALUE!
1918,11,15,0.00,26.67,#VALUE!
1918,11,16,0.00,30.00,#VALUE!
1918,11,17,12.70,29.44,#VALUE!
1918,11,18,0.00,23.89,#VALUE!
1918,11,19,0.00,23.89,#VALUE!
1918,11,20,0.00,18.33,#VALUE!
1918,11,21,0.00,18.33,#VALUE!
1918,11,22,0.00,17.22,#VALUE!
1918,11,23,0.00,16.11,#VALUE!
1918,11,24,27.94,15.56,#VALUE!
1918,11,25,0.00,15.00,#VALUE!
1918,11,26,10.67,17.22,#VALUE!
1918,11,27,0.00,21.11,#VALUE!
1918,11,28,26.67,20.56,#VALUE!
1918,11,29,0.00,15.56,#VALUE!
1919,4,3,0.00,#VALUE!,3.33
1919,4,6,0.00,#VALUE!,10.00
1919,4,10,0.00,#VALUE!,15.56
1919,4,11,5.08,#VALUE!,#VALUE!
1919,4,19,0.00,#VALUE!,6.11
1919,4,20,0.00,#VALUE!,#VALUE!
1919,4,24,0.00,#VALUE!,12.78
1919,4,25,0.00,#VALUE!,#VALUE!
1919,4,26,0.00,#VALUE!,#VALUE!
1919,4,27,0.00,#VALUE!,#VALUE!
1919,4,29,0.00,#VALUE!,12.22
1919,6,15,0.00,34.44,21.11
1921,7,19,10.16,28.33,20.56
1921,7,20,17.78,27.22,#VALUE!
1921,7,21,53.34,#VALUE!,#VALUE!
1921,7,22,0.00,25.56,#VALUE!
1921,7,23,3.81,26.67,#VALUE!
1921,7,24,2.54,28.33,#VALUE!
1921,7,25,0.00,30.56,#VALUE!
1921,7,30,0.00,37.22,21.67
1922,2,23,0.00,21.11,6.11
1922,3,3,14.73,18.33,3.33
1922,3,4,55.88,11.67,#VALUE!
1922,3,5,0.00,21.11,#VALUE!
1922,3,6,63.50,20.56,#VALUE!
1922,3,8,0.00,20.00,3.33
1922,3,9,0.00,16.11,#VALUE!
1922,3,15,0.00,22.78,11.67
1922,3,18,30.48,#VALUE!,5.56
1922,3,19,0.00,#VALUE!,#VALUE!
1922,3,25,0.00,#VALUE!,3.89
1922,3,26,3.81,#VALUE!,#VALUE!
1922,3,27,0.00,#VALUE!,#VALUE!
1922,3,28,0.00,28.33,#VALUE!
1922,3,30,0.00,28.33,15.56
1922,5,30,0.00,26.11,17.78
1922,12,9,3.81,22.22,15.00
1925,4,28,0.00,25.56,17.22
1925,8,28,0.00,32.22,20.56
1925,8,29,0.00,31.67,#VALUE!
1925,8,30,0.00,33.89,#VALUE!
