title,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
prcp,1904,0,0,-30,-31,0,0,0,0,0,0,0,0,-61
tmax,1904,0,0,0,-4,0,0,0,0,0,0,0,0,-4
tmin,1904,0,0,-17,-21,0,0,0,0,0,0,0,0,-38
prcp,1905,-31,-31,-30,-31,-28,-31,-30,-31,-28,-31,-31,-30,-363
tmax,1905,-5,0,0,-3,-5,0,0,0,0,0,0,0,-13
tmin,1905,-25,-6,-10,-24,-22,-4,-5,0,0,0,0,0,-96
prcp,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1906,-3,0,0,-4,-2,0,0,0,0,0,0,0,-9
tmin,1906,-23,-6,-16,-20,-26,-19,-5,0,0,0,0,0,-115
prcp,1907,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1907,0,0,0,0,-2,0,0,0,0,0,0,0,-2
tmin,1907,-11,-5,-13,-22,-19,-1,-10,0,0,0,0,0,-81
prcp,1908,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-29,-365
tmax,1908,0,0,0,0,-1,0,0,0,0,0,0,0,-1
tmin,1908,-23,0,-6,-17,-10,-4,-1,-1,0,0,0,0,-62
prcp,1909,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-29,-364
tmax,1909,-3,0,0,-3,0,0,0,0,0,0,0,0,-6
tmin,1909,-16,-4,-11,-23,-18,-11,-2,0,0,0,0,0,-85
prcp,1910,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1910,0,0,0,-6,-1,0,0,0,0,0,0,0,-7
tmin,1910,-24,-4,-19,-28,-14,-6,-2,0,0,0,0,0,-97
prcp,1911,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1911,-2,0,-2,0,0,0,0,0,0,0,0,0,-4
tmin,1911,-19,0,-16,-14,-9,-13,-1,0,0,0,0,0,-72
prcp,1912,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1912,-8,0,-1,0,-4,-1,0,0,0,0,0,0,-14
tmin,1912,-26,-1,-17,-21,-26,-14,-2,0,0,0,0,0,-107
prcp,1913,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1913,0,0,0,0,-2,0,0,0,0,0,0,0,-2
tmin,1913,-12,-5,-13,-14,-19,-11,-3,0,0,0,0,0,-77
prcp,1914,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1914,-3,0,-1,-4,-4,-1,0,0,0,0,0,0,-13
tmin,1914,-26,-4,-16,-19,-23,-19,-1,0,0,0,0,0,-108
prcp,1915,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1915,0,0,0,-3,0,0,0,0,0,0,0,0,-3
tmin,1915,-25,-1,-11,-26,-19,-24,-5,0,0,0,0,0,-111
prcp,1916,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1916,-1,0,0,0,0,0,0,0,0,0,0,0,-1
tmin,1916,-14,-1,-11,-20,-19,-15,-4,0,0,0,0,0,-84
prcp,1917,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1917,-1,0,0,-8,-3,0,0,0,0,0,0,0,-12
tmin,1917,-16,-8,-23,-26,-12,-10,-2,0,0,0,0,0,-97
prcp,1918,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1918,-7,0,0,0,0,0,0,0,0,0,0,0,-7
tmin,1918,-23,0,-17,-13,-13,-2,-4,0,0,0,0,0,-72
prcp,1919,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1919,-2,0,0,0,0,0,0,0,0,0,0,0,-2
tmin,1919,-22,0,-7,-22,-16,-6,-5,0,0,0,0,0,-78
prcp,1920,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1920,-2,0,0,0,-2,0,0,0,0,0,0,0,-4
tmin,1920,-14,-3,-14,-22,-21,-14,-4,0,0,0,0,0,-92
prcp,1921,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
