year,month,day,prcp,tmax,tmin
1905,6,28,97,350,228
1908,9,24,0,300,211
1909,9,12,173,294,200
1926,5,31,0,300,144
1926,6,1,,317,178
1926,6,2,,322,211
1926,6,6,58,283,161
1926,6,7,,306,178
1926,6,8,,333,183
1926,6,9,,361,200
1926,6,10,,356,200
1926,6,11,,372,211
1926,6,12,,367,222
1926,6,13,,378,228
1926,6,14,,350,228
1926,6,16,0,283,233
1926,6,17,,294,211
1926,6,20,244,306,211
1926,6,21,,261,183
1926,6,24,69,328,206
1926,6,25,,333,189
1928,9,30,0,306,178
1928,10,1,,244,183
1928,10,2,,289,172
1928,10,4,28,261,183
1928,10,5,,294,206
1928,10,7,20,311,200
1928,10,8,,294,183
1928,10,9,,289,194
1928,10,11,0,267,189
1928,10,16,64,272,211
1928,10,19,264,283,211
1928,10,20,,267,139
1928,10,23,43,261,183
1928,10,24,,217,100
1928,10,25,,228,89
1928,10,26,,222,100
1928,10,27,,222,139
1928,10,28,,272,100
1928,10,29,,206,100
1928,10,30,,183,72
1936,9,11,0,333,200
1936,9,12,,322,206
1942,4,8,0,300,150
1942,4,9,,311,172
1950,12,8,0,111,11
1950,12,9,,150,28
1952,10,6,0,289,150
1952,10,7,,294,178
1973,3,30,53,200,156
1979,1,1,0,211,89
1979,1,7,330,172,22
1979,1,23,0,139,0
1979,1,26,0,172,-11
1979,1,30,0,167,-17
1979,2,22,84,217,139
1979,2,23,,261,100
1982,2,5,3,244,100
1982,2,6,,,
1982,3,18,38,294,172
1982,3,30,0,256,111
1982,4,11,25,261,78
1982,4,12,,,
1982,4,13,,,
1982,4,14,,,
1982,4,26,500,289,167
1982,4,27,,,
1982,4,28,,,
1982,4,29,,,
1982,5,26,13,306,161
1982,5,28,10,339,211
1982,6,13,0,311,289
1982,6,14,,,
1982,8,23,0,339,217
1982,10,30,0,261,133
1982,12,11,81,128,150
1982,12,12,,,
1983,1,1,114,89,67
1983,1,2,,,
1983,2,21,5,156,50
1983,2,22,,,
1983,11,28,0,,
1989,12,22,0,67,-22
2002,11,15,0,189,28
2002,12,17,0,194,
2002,12,18,,,
2002,12,23,0,217,0
2003,3,5,23,139,94
2003,3,6,,,
2003,3,7,,,
2003,3,8,,,
2003,3,9,,,
2003,5,16,0,328,200
2003,5,17,,,
2003,6,12,229,339,211
2003,6,13,,,
2003,6,14,,,
2003,6,26,0,333,206
2003,6,27,,,
2003,6,28,,344,211
2003,6,29,,,
2003,7,24,18,289,217
2003,7,25,,,
2003,7,26,,,
2003,8,29,107,328,
2003,8,30,,,
2003,8,31,,,
2003,10,8,0,261,178
2003,10,9,,,
2003,10,10,,,
2003,10,11,,,
2003,10,28,699,194,111
2003,11,30,0,156,17
2003,12,1,,206,33
2003,12,4,71,122,56
2003,12,5,,100,6
2003,12,6,,122,-17
2003,12,7,,,-22
2003,12,10,102,189,39
2003,12,11,,111,-6
2003,12,14,8,83,0
2003,12,15,,144,6
2003,12,16,,183,56
2003,12,17,,106,0
2003,12,18,,156,28
2003,12,19,,128,-11
2003,12,20,,89,-56
2003,12,21,,122,-33
2003,12,22,,189,11
2003,12,23,,222,22
2003,12,24,,172,-17
2003,12,25,,89,-33
2003,12,26,,156,-33
2003,12,27,,178,-22
2003,12,28,,206,17
2003,12,29,,194,89
2003,12,30,,189,0
2003,12,31,,194,-17
2004,1,1,,211,28
2004,1,2,,211,28
2004,1,5,20,261,61
2004,1,6,,106,-33
2004,1,9,102,72,17
2004,1,10,,50,-33
2004,1,11,,94,-22
2004,1,12,,167,28
2004,1,13,,189,44
2004,1,14,,200,67
2004,1,15,,194,11
2004,1,17,25,167,89
2004,1,18,,217,78
2004,1,19,,106,-28
2004,1,20,,111,-28
2004,1,21,,144,-22
2004,1,22,,156,11
2004,1,27,5,106,-22
2004,1,28,,94,-44
2004,1,29,,144,-33
2004,1,30,,,
2004,2,14,102,100,78
2004,2,15,,,
2004,3,31,0,217,39
2004,4,1,,200,50
