year,month,day,prcp,tmax,tmin
year,month,day,PRCP,TMAX,TMIN
1904,11,1,0,233,111
1904,11,2,0,172,150
1904,11,3,622,200,167
1904,11,4,3,194,167
1904,11,5,0,167,139
1904,11,9,0,228,44
1904,11,10,0,217,78
1904,11,11,0,189,111
1904,11,12,312,122,111
1904,11,21,0,239,61
1904,11,22,23,178,100
1904,11,23,0,206,100
1904,12,2,53,189,50
1904,12,3,0,194,133
1904,12,4,0,150,122
1904,12,5,104,211,122
1904,12,6,0,133,117
1904,12,9,0,183,56
1904,12,23,0,222,33
1904,12,24,0,228,78
1904,12,25,0,217,111
1904,12,26,0,222,111
1905,1,2,5,211,28
1905,1,11,0,206,33
1905,1,12,71,206,111
1905,1,19,107,167,-22
1905,1,25,0,89,-17
1905,1,26,0,28,-94
1905,2,1,0,128,50
1905,2,12,508,233,56
1905,2,13,66,139,122
1905,2,14,0,33,-78
1905,2,20,0,239,67
1905,2,21,470,156,83
1905,3,4,0,244,39
1905,3,5,0,189,89
1905,3,6,0,200,94
1905,3,7,0,172,100
1905,3,8,0,256,122
1905,3,9,274,272,128
1905,3,10,0,211,161
1905,3,11,323,128,106
1905,3,12,0,106,89
1905,3,13,5,106,83
1905,3,14,0,156,72
1905,3,15,0,200,78
1905,3,16,231,183,94
1905,3,17,0,222,106
1905,3,18,0,244,111
1905,3,19,0,267,111
1905,3,20,0,244,156
1905,3,21,0,228,156
1905,3,22,0,233,106
1905,3,23,0,239,83
1905,3,24,28,211,89
1905,3,25,0,217,72
1905,3,26,0,250,78
1905,3,27,0,256,83
1905,3,28,0,272,106
1905,3,29,0,267,111
1905,3,30,0,267,144
1905,3,31,0,267,144
1905,4,1,0,272,133
1905,4,2,0,272,122
1905,4,3,0,272,122
1905,4,4,0,272,122
1905,4,5,170,256,161
1905,4,8,0,250,44
1905,4,9,46,272,144
1905,4,10,0,261,144
1905,4,11,58,289,144
1905,4,12,56,256,150
1905,4,13,0,256,161
1905,4,14,0,261,167
1905,4,15,20,256,167
1905,4,19,0,239,44
1905,4,20,0,272,94
1905,4,21,8,289,106
1905,4,22,13,289,156
1905,4,23,0,233,178
1905,4,24,0,250,117
1905,4,25,0,256,122
1905,4,26,38,272,139
1905,4,27,0,278,183
1905,4,28,0,317,183
1905,4,29,3,328,183
1905,4,30,0,300,189
1905,5,1,0,278,183
1905,5,2,43,228,167
1905,5,3,0,294,178
1905,5,4,0,328,189
1905,5,5,13,333,189
1905,5,6,0,317,200
1905,5,7,0,333,200
1905,5,8,0,317,211
1905,5,9,3,339,211
1905,5,10,0,350,194
1905,5,11,0,361,217
1905,5,12,0,356,217
1905,5,13,0,372,206
1905,5,14,0,361,206
1905,5,15,0,350,222
1905,5,16,86,306,222
1905,5,17,0,256,189
1905,5,18,0,278,139
1905,5,19,0,317,139
1905,5,20,0,317,156
1905,5,21,178,311,172
1905,5,22,0,300,183
1905,5,23,3,306,183
1905,5,24,0,261,194
1905,5,25,76,283,183
1905,5,26,0,300,183
1905,5,27,0,317,200
1905,5,28,0,339,200
1905,5,29,0,356,200
1905,5,30,69,367,211
1905,5,31,33,328,217
1905,6,1,0,311,194
1905,6,2,0,306,194
1905,6,3,0,311,156
1905,6,4,0,322,161
1905,6,5,0,344,172
1905,6,6,0,344,178
1905,6,7,0,367,183
1905,6,8,0,361,183
1905,6,9,0,283,222
1905,6,10,0,311,178
1905,6,11,0,333,161
1905,6,12,0,361,167
1905,6,13,0,361,206
1905,6,14,292,267,228
1905,6,15,0,317,206
1905,6,16,28,328,206
1905,6,17,122,322,211
1905,6,18,23,294,222
1905,6,19,41,322,217
1905,6,20,0,339,217
1905,6,21,0,350,211
1905,6,22,0,367,217
1905,6,23,13,317,228
1905,6,24,0,344,233
1905,6,25,8,361,233
1905,6,26,0,356,228
1905,6,27,3,328,244
1905,6,28,97,350,228
1905,6,29,,,228
1905,7,1,18,,
1905,7,2,0,,
1905,7,3,0,378,228
1905,7,4,218,389,233
1905,7,5,64,333,228
1905,7,6,178,339,222
1905,7,7,353,317,200
1905,7,8,8,317,200
1905,7,9,0,339,194
1905,7,10,38,339,217
1905,7,11,79,317,217
1905,7,12,0,328,222
1905,7,13,13,328,222
1905,7,14,0,322,222
1905,7,15,3,311,222
1905,7,16,18,317,211
1905,7,17,23,333,211
1905,7,18,0,344,211
1905,7,19,0,361,217
1905,7,20,0,367,233
1905,7,21,0,367,244
1905,7,22,0,356,244
1905,7,23,107,361,239
1905,7,24,0,344,228
1905,7,25,0,350,228
1905,7,26,0,317,233
1905,7,27,0,339,217
1905,7,28,3,356,217
1905,7,29,178,344,217
1905,7,30,5,339,222
1905,7,31,0,328,228
1905,8,1,0,322,239
1905,8,2,0,317,211
1905,8,3,0,328,206
1905,8,4,0,300,217
1905,8,5,0,306,217
1905,8,6,0,367,211
1905,8,7,0,372,211
1905,8,8,196,350,233
1905,8,9,25,317,217
1905,8,10,8,356,233
1905,8,11,81,333,217
1905,8,12,0,317,211
1905,8,13,15,322,211
1905,8,14,8,328,222
1905,8,15,5,339,228
1905,8,16,0,350,228
1905,8,17,0,356,233
1905,8,18,196,278,222
1905,8,19,0,300,206
1905,8,20,0,311,206
1905,8,21,0,333,206
1905,8,22,0,344,211
1905,8,23,114,344,211
1905,8,24,0,306,222
1905,8,25,216,339,206
1905,8,26,3,256,211
1905,8,27,0,278,200
1905,8,28,3,222,206
1905,8,29,0,306,194
1905,8,30,0,328,189
1905,8,31,0,350,194
1905,9,1,0,361,239
1905,9,2,0,317,211
1905,9,3,0,339,217
1905,9,4,0,339,222
1905,9,5,38,311,222
1905,9,6,0,322,222
1905,9,7,0,333,206
1905,9,8,0,328,183
1905,9,9,0,283,189
1905,9,10,8,289,189
1905,9,11,0,328,194
1905,9,12,157,322,194
1905,9,13,66,294,206
1905,9,14,0,294,200
1905,9,15,0,256,206
1905,9,16,3,256,206
1905,9,17,0,311,211
1905,9,18,0,328,211
1905,9,19,0,339,217
1905,9,20,0,344,217
1905,9,21,109,350,222
1905,9,22,0,311,200
1905,9,23,0,322,200
1905,9,24,0,317,200
1905,9,25,0,317,200
1905,9,26,0,306,189
1905,9,27,0,278,189
1905,9,28,0,289,189
1905,9,29,343,250,194
1905,9,30,109,294,211
1905,10,1,0,300,200
1905,10,2,0,306,200
1905,10,3,0,300,172
1905,10,4,10,267,178
