title,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
prcp,1894,0,0,0,0,0,0,0,-11,0,0,0,0,-11
tmax,1894,0,0,0,0,0,0,0,-31,0,0,0,0,-31
tmin,1894,0,0,0,0,0,0,0,-31,0,0,0,0,-31
prcp,1895,0,0,-12,-31,0,0,0,0,0,0,0,0,-43
tmax,1895,0,0,-30,-31,0,0,0,0,0,0,0,0,-61
tmin,1895,0,0,-30,-31,0,0,0,0,0,0,0,0,-61
prcp,1896,-6,0,-8,-30,-28,0,-8,-8,-9,-9,-6,-30,-142
tmax,1896,-31,0,-29,-31,-29,0,-30,-31,-30,-31,-31,-30,-303
tmin,1896,-31,0,-29,-31,-29,0,-30,-31,-30,-31,-31,-30,-303
prcp,1897,-31,-31,-30,-31,-12,-31,-30,-31,-30,-31,-31,-30,-349
tmax,1897,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1897,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1898,-31,-31,-30,-31,-28,-31,0,0,0,0,0,0,-182
tmax,1898,-31,-31,-30,-31,-28,-31,0,0,0,0,0,0,-182
tmin,1898,-31,-31,-30,-31,-28,-31,0,0,0,0,0,0,-182
prcp,1899,-31,-31,-30,-31,-27,-30,-30,-31,-30,-31,-31,-30,-363
tmax,1899,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1899,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1900,-31,-31,-30,-31,-27,-31,0,-31,0,-31,-31,-30,-304
tmax,1900,-31,-31,-30,-31,-28,-31,0,-31,0,-31,-31,-30,-305
tmin,1900,-31,-31,-30,-31,-28,-31,0,-31,0,-31,-31,-30,-305
prcp,1901,-12,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-346
tmax,1901,-30,-30,-30,-31,-28,-31,-30,-31,-29,-31,-28,-21,-350
tmin,1901,-30,-30,-30,-31,-28,-31,-30,-31,-29,-31,-28,-21,-350
prcp,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1903,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1903,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1903,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1904,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1904,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmin,1904,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
prcp,1905,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1905,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1905,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1907,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1907,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1907,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1908,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1908,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmin,1908,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
prcp,1909,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1909,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1909,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1910,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1910,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1910,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1911,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1911,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1911,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1912,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1912,-31,-31,-30,-30,-29,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1912,-31,-31,-30,-30,-29,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1913,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1913,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1913,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1914,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1914,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1914,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1915,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1915,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-29,-364
tmin,1915,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-29,-364
prcp,1916,-31,-31,-30,-31,-29,-31,-30,-4,-30,-22,-31,-30,-330
tmax,1916,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmin,1916,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
prcp,1917,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1917,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1917,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1918,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1918,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1918,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1919,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1919,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1919,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1920,-31,-31,-30,-31,-29,-31,-30,-31,-30,-31,-31,-30,-366
tmax,1920,-31,-31,-30,-31,-29,-30,-30,-31,-30,-31,-31,-30,-365
tmin,1920,-31,-31,-30,-31,-29,-30,-30,-31,-30,-31,-31,-30,-365
prcp,1921,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1921,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1921,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1922,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1922,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1922,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1923,-31,-31,-30,-31,-28,-10,-30,-31,-30,-31,-31,-30,-344
