year,month,day,prcp,tmax,tmin
year,month,day,prcp,tmax,tmin
1894,5,1,-99.9,30,10.6
1894,5,2,-99.9,28.9,14.4
1894,5,3,-99.9,31.1,16.7
1894,5,4,-99.9,30,15.6
1894,5,5,-99.9,30,15.6
1894,5,6,-99.9,27.8,5.6
1894,5,7,-99.9,18.9,4.4
1894,5,8,-99.9,23.3,5.6
1894,5,9,-99.9,26.7,8.3
1894,5,10,-99.9,30,12.2
1894,5,11,-99.9,33.3,13.9
1894,5,15,1.8,19.4,11.1
1894,5,16,-99.9,26.7,13.3
1894,5,20,1,26.7,17.8
1894,5,21,-99.9,27.8,16.1
1894,5,22,-99.9,30.6,17.8
1894,5,23,-99.9,34.4,18.9
1894,5,24,-99.9,32.2,20
1894,5,30,0.3,25.6,13.3
1895,11,1,9.7,10,-1.1
1895,11,2,-99.9,14.4,0
1895,11,3,-99.9,16.7,-1.1
1895,11,4,-99.9,17.8,-2.2
1895,11,12,4.6,7.8,-4.4
1895,11,13,-99.9,5.6,-6.7
1895,11,14,-99.9,10,-3.3
1895,11,15,-99.9,11.7,-1.7
1895,11,18,0,12.2,-3.3
1895,11,20,2.5,5.6,-7.8
1895,11,21,-99.9,2.2,-8.9
1895,11,22,-99.9,1.1,-6.7
1895,11,23,-99.9,3.3,-2.2
1895,11,24,-99.9,2.2,-3.3
1895,11,26,15.7,-1.1,-7.8
1895,11,27,-99.9,0,-5.6
1895,11,28,-99.9,-1.1,-6.7
1895,11,29,-99.9,1.1,-6.7
1895,12,31,9.7,10,-4.4
1896,1,1,-99.9,7.8,-4.4
1896,1,2,-99.9,6.7,-5.6
1896,1,3,-99.9,7.8,-2.2
1896,1,4,-99.9,8.9,-3.3
1896,1,5,-99.9,10,-3.3
1896,1,6,-99.9,11.1,-2.2
1896,1,9,19.1,8.9,-5.6
1896,1,10,-99.9,6.7,-6.7
1896,1,11,-99.9,7.8,-5.6
1896,1,12,-99.9,7.8,-4.4
1896,1,13,-99.9,8.9,-5.6
1896,1,14,-99.9,8.9,-3.3
1896,1,17,19.8,8.9,-4.4
1896,1,18,-99.9,11.1,-3.3
1896,1,19,-99.9,11.1,-3.3
1896,1,20,-99.9,12.2,-4.4
1896,1,23,16.8,11.1,-5.6
1896,1,24,-99.9,14.4,-4.4
1896,1,25,-99.9,13.3,-2.2
1896,1,26,-99.9,13.3,-3.3
1896,1,27,-99.9,13.3,-2.2
1896,1,28,-99.9,14.4,-3.3
1896,1,29,-99.9,14.4,-3.3
1896,1,30,-99.9,16.7,-1.1
1896,2,15,0,20,3.3
1896,4,2,16.8,17.8,3.3
1896,4,3,-99.9,20,5.6
1896,4,4,-99.9,20,6.7
1896,4,5,-99.9,21.1,7.8
1896,4,6,-99.9,21.1,8.9
1896,4,7,-99.9,22.2,10
1896,4,8,-99.9,25.6,10
1896,4,10,8.1,21.1,7.8
1896,4,11,-99.9,23.3,11.1
1896,4,12,-99.9,25.6,12.2
1896,4,13,-99.9,26.7,12.2
1896,4,14,-99.9,28.9,14.4
1896,4,15,-99.9,28.9,14.4
1896,4,16,-99.9,31.1,15.6
1896,4,17,-99.9,33.3,16.7
1896,4,18,-99.9,35.6,16.7
1896,4,19,-99.9,35.6,16.7
1896,4,20,-99.9,34.4,15.6
1896,4,26,0.5,32.2,14.4
1896,4,27,-99.9,28.9,13.3
1896,4,28,-99.9,23.3,12.2
1896,4,29,-99.9,28.9,14.4
1896,5,1,9.7,25.6,12.2
1896,5,3,19.3,27.8,14.4
1896,5,4,-99.9,27.8,15.6
1896,5,6,0,31.1,13.3
1896,5,7,-99.9,33.3,15.6
1896,5,8,-99.9,26.7,10
1896,5,9,-99.9,27.8,12.2
1896,5,10,-99.9,33.3,15.6
1896,5,11,-99.9,31.1,20
1896,5,12,-99.9,37.8,18.9
1896,5,13,-99.9,34.4,20
1896,5,14,-99.9,34.4,20
1896,5,15,-99.9,32.2,18.9
1896,5,16,-99.9,32.2,18.9
1896,5,17,-99.9,37.8,20
1896,5,18,-99.9,36.7,17.8
1896,5,23,0.8,33.3,15.6
1896,5,24,-99.9,35,17.8
1896,5,25,-99.9,33.3,17.8
1896,5,27,15.2,33.3,15.6
1896,5,28,-99.9,32.2,15.6
1896,5,29,-99.9,32.2,16.7
1896,5,30,-99.9,31.1,16.7
1896,6,4,37.6,28.9,15.6
1896,6,5,-99.9,27.8,14.4
1896,6,6,-99.9,30,18.9
1896,6,7,-99.9,32.2,17.8
1896,6,8,-99.9,33.3,18.9
1896,6,10,5.1,32.2,20
1896,6,11,-99.9,32.2,20
1896,6,12,-99.9,33.3,20
1896,6,13,-99.9,34.4,21.1
1896,6,14,-99.9,34.4,20
1896,6,15,-99.9,34.4,21.1
1896,6,16,-99.9,35.6,22.8
1896,6,17,-99.9,32.2,20
1896,6,18,-99.9,33.3,22.2
1896,6,19,-99.9,35,22.2
1896,6,22,0,30.6,20
1896,6,23,-99.9,30,19.4
1896,6,24,-99.9,29.4,17.2
1896,6,25,-99.9,32.2,20
1896,6,26,-99.9,33.3,21.7
1896,6,29,4.3,34.4,21.1
1896,6,30,-99.9,34.4,21.1
1896,7,1,-99.9,35,23.3
1896,7,4,15.7,32.2,20
1896,7,9,144.8,22.2,17.8
1896,7,11,43.2,28.9,22.2
1896,7,13,12.7,23.3,20.6
1896,7,14,-99.9,27.8,21.7
1896,7,15,-99.9,32.2,21.1
1896,7,16,-99.9,33.3,22.2
1896,7,17,-99.9,33.3,22.2
1896,7,18,-99.9,25.6,17.8
1896,7,20,6.4,27.8,20
1896,7,21,-99.9,31.1,21.1
1896,7,22,-99.9,31.1,22.2
1896,7,23,-99.9,27.8,22.2
1896,7,24,-99.9,33.3,21.1
1896,7,25,-99.9,32.2,23.3
1896,7,26,-99.9,35.6,23.3
1896,7,27,-99.9,34.4,23.3
1896,7,28,-99.9,33.3,21.1
1896,7,29,-99.9,34.4,25.6
1896,7,30,-99.9,35.6,25.6
1896,7,31,-99.9,35.6,22.2
1896,8,1,-99.9,32.2,20
1896,8,2,-99.9,32.2,18.9
1896,8,3,-99.9,33.3,20
1896,8,4,-99.9,33.3,21.1
1896,8,5,-99.9,32.2,22.2
1896,8,6,-99.9,33.3,21.1
1896,8,7,-99.9,33.3,21.1
1896,8,8,-99.9,32.8,21.1
1896,8,9,-99.9,32.2,22.2
1896,8,10,-99.9,33.3,22.2
1896,8,12,0.3,32.2,21.1
1896,8,15,29.5,31.1,25.6
1896,8,16,-99.9,32.2,21.1
1896,8,17,-99.9,33.3,22.2
1896,8,18,-99.9,31.1,18.9
1896,8,19,-99.9,31.1,20
1896,8,20,-99.9,31.1,21.1
1896,8,21,-99.9,30,17.8
1896,8,22,-99.9,32.2,22.2
1896,8,23,-99.9,31.1,21.1
1896,8,27,2.5,32.2,20
1896,8,28,-99.9,31.1,20
1896,8,29,-99.9,33.3,20
1896,8,30,-99.9,30,18.9
1896,11,5,46.7,20,11.1
1896,11,6,-99.9,21.7,12.2
1896,11,7,-99.9,18.3,9.4
1896,11,8,-99.9,17.2,10
1896,11,9,-99.9,16.1,7.2
1896,11,11,-99.9,17.2,7.2
1896,11,13,34,21.7,10
1896,11,14,-99.9,15,3.3
1896,11,15,-99.9,13.9,3.3
1896,11,16,-99.9,16.7,7.2
