year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1895,11,28,-0.74,-1.1,31.76,-12.66,-6.7,19.09,-1.28,5.6,25.87
1896,5,31,9.99,20,46.91,3.81,20,28.31,0.56,0,24.22
1896,7,13,18.92,23.3,45.3,12.33,20.6,27.98,2.86,2.7,21.05
1896,9,28,11.53,25.6,40.23,1.18,0,27.24,-1.88,25.6,25.22
1897,8,9,19.1,22.8,44.88,12.17,20.6,28.4,3.09,2.2,20.32
1898,10,27,4.01,3.9,37.35,-6.09,-1.1,21.13,-2.02,5,28.33
1898,11,7,6.11,2.8,31.76,-9.82,1.1,19.71,1.14,1.7,26.84
1898,11,8,4.83,2.8,32.69,-9.68,2.2,19.85,-0.38,0.6,27.73
1899,2,14,-6.24,-10.6,32.47,-15.85,-20.6,16.26,-2.47,10,28.29
1899,2,15,-1.97,-1.1,31.81,-16.23,-18.9,18.25,-0.31,17.8,28.13
1899,3,8,-1.46,-1.7,34.05,-12.36,-8.9,18.12,-1.92,7.2,28.75
1901,4,22,10.53,8.9,38.14,-3.15,0.6,23.51,1.36,8.3,26.95
1901,5,30,10.42,0,46.05,4.25,0,27.63,0.97,0,23.62
1901,5,31,9.99,0,46.91,3.81,0,28.31,0.56,0,24.22
1901,8,8,22.7,33.3,41.45,12.05,0,28.35,1.56,33.3,22.19
1901,8,12,15.26,0,47.18,9.99,0,29.74,1.55,0,21.16
1901,8,13,18.24,0,44.85,11.55,0,28.26,1.69,0,21.59
1901,8,17,22.14,29.4,41.93,9.61,0,30.45,0.26,29.4,23.76
1901,8,18,18.85,29.4,44.31,9.78,0,29.77,0.78,29.4,22.84
1901,8,19,18.21,31.1,45.01,10.01,0,29.21,0.92,31.1,23.09
1901,8,21,22.37,36.7,41.3,10.34,0,28.62,1.47,36.7,23.24
1901,8,23,21.64,27.8,40.74,9.76,0,28.58,2.17,27.8,21.87
1901,8,24,18.27,0,43.63,9.76,0,28.28,2.65,0,21.21
1901,8,29,21.6,24.4,40.44,9.04,0,28.53,1.93,24.4,22.55
1901,8,30,12.19,0,47.88,6.27,0,30.48,0.18,0,23.15
1901,8,31,22.12,31.1,39.8,9.08,0,28.25,1.48,31.1,23.12
1901,9,8,13.46,0,46.26,5.29,0,30.11,-0.41,0,24.73
1901,9,16,14.38,30.6,43.19,3.96,0,28.63,-1.04,30.6,26.02
1901,9,29,7.48,0,43.35,-1.26,0,28.26,-3.06,0,26.88
1901,9,30,9.75,0,40.94,-0.82,0,27.61,-0.94,0,24.85
1901,10,26,6.16,0,36.24,-6.55,0,22.26,-1.56,0,28.26
1902,6,18,16.38,33.9,45.17,7.92,0,28.88,1.34,33.9,23.39
1902,6,19,14.71,33.9,47.02,6.76,0,30.51,1.04,33.9,23.43
1902,9,4,19.64,31.1,41.2,9.44,0,27.83,0.15,31.1,23.42
1902,9,8,13.46,26.7,46.26,5.29,0,30.11,-0.41,26.7,24.73
1903,7,24,18.97,23.3,45.42,12.39,22.2,28.39,1.96,1.1,21.66
1904,4,17,7.03,6.1,38.17,-6.47,3.3,22.95,0.63,2.8,28.1
1904,8,7,19.21,23.9,44.11,11.41,21.7,28.98,2.57,2.2,20.36
