year,month,day,prcp,tmax,tmin
1901,1,2,6.4,8.9,6.1
1901,6,5,0,31.1,17.2
1901,8,13,0,0,0
1901,8,21,2.5,36.7,0
1901,8,24,0,0,0
1901,9,6,0,31.7,16.7
1901,9,17,19.1,32.8,20
1901,9,20,0,17.2,11.1
1901,9,21,0,0,8.9
1901,9,22,0,0,8.9
1901,9,23,0,0,11.1
1901,9,25,0,25,13.3
1901,9,26,0,0,13.9
1901,9,27,0,0,12.8
1901,10,27,0,20,6.1
1912,12,2,0,15,4.4
1915,9,29,0,28.3,15.6
1920,3,29,78.7,26.7,13.3
1929,2,3,0,0,-4.4
1929,2,5,0.3,0,-1.1
1929,2,6,12.7,0,1.1
1929,2,7,19.1,0,5
1929,2,8,0,0,1.1
1929,2,9,10.2,0,9.4
1929,2,10,10.2,0,11.1
1929,2,14,0,0,-2.2
1929,2,15,11.7,0,7.8
1929,2,16,22.9,0,2.2
1929,2,17,11.2,0,3.3
1929,2,18,0,0,4.4
1929,2,19,0,0,3.3
1929,2,20,0,0,12.2
1929,2,21,38.4,0,1.1
1929,2,24,0,0,-3.9
1929,2,25,0,0,7.2
1929,2,26,0,0,13.3
1929,2,27,33,0,12.2
1934,3,30,0,20,4.4
1934,8,30,0,28.3,18.3
1934,11,29,21.3,18.9,10.6
1935,10,15,0,27.8,0
1949,7,15,0.8,31.7,22.8
1949,10,25,0,26.1,11.7
1949,12,7,0,16.1,0
1950,2,22,0,14.4,-1.1
1950,2,25,0,0,0
1950,9,30,0,20.6,16.1
1951,4,4,0,16.1,2.2
1956,8,9,0,34.4,20
1958,1,23,0,0,-2.2
1958,1,24,20.3,0,3.3
1980,9,17,0,33.3,16.7
1980,9,18,26.7,0,19.4
1982,1,2,0,13.9,-2.8
1991,6,1,0,32.8,19.4
1993,12,14,0,9.4,-2.2
1994,12,23,40.1,8.9,6.1
1994,12,24,7.6,1.7,17.2
1995,8,4,1,28.9,21.7
1996,3,14,0,20,-2.8
1996,6,25,0,36.1,21.7
2001,3,20,22.9,6.7,2.2
2002,12,6,-99.9,0,0
2003,7,13,-99.9,32.2,19.4
2004,9,16,7.6,25.6,20.6
2004,10,21,0,17.8,15.6
2004,11,11,5.1,13.3,8.3
2004,12,9,30.5,20,11.7
2005,1,13,29.2,22.8,11.7
2005,3,9,0,10,0.6
2005,3,17,0,3.3,-1.1
2006,3,14,-99.9,25,6.1
2006,3,19,0,23.3,6.1
