title,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
prcp,1891,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1891,0,0,-1,-1,0,0,0,0,0,0,0,0,-2
tmin,1891,0,0,-1,-1,0,0,0,0,0,0,0,0,-2
prcp,1892,0,-31,-30,-31,0,0,0,0,0,0,0,0,-92
tmax,1892,-3,-1,-2,-2,-1,-1,-1,-2,-1,-1,-1,-1,-17
tmin,1892,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-13
prcp,1893,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,0,-335
tmax,1893,-2,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-11
tmin,1893,-2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-13
prcp,1894,-31,-31,0,0,-28,-31,-30,0,-30,-26,0,-30,-237
tmax,1894,-1,0,-1,0,0,0,0,-1,0,0,0,0,-3
tmin,1894,-1,0,-1,0,0,0,0,-1,0,0,0,0,-3
prcp,1895,-31,0,0,0,0,-31,0,0,0,0,0,0,-62
tmax,1895,0,0,0,0,-1,0,0,0,0,0,0,0,-1
tmin,1895,0,0,0,0,-1,0,0,0,0,0,0,0,-1
prcp,1896,0,0,-30,0,0,0,0,0,0,0,0,0,-30
tmax,1896,0,0,-30,0,0,0,0,0,0,0,0,0,-30
tmin,1896,0,0,-30,0,0,0,0,0,0,0,0,0,-30
prcp,1897,-31,0,0,0,-12,-31,0,0,0,0,0,0,-74
tmax,1897,-20,0,0,0,-21,-31,0,0,0,0,0,0,-72
tmin,1897,-20,0,0,0,-20,-31,0,0,0,0,0,0,-71
prcp,1898,0,0,0,0,0,0,-30,0,0,0,0,0,-30
tmax,1898,0,0,0,0,0,0,-15,0,0,0,0,0,-15
tmin,1898,0,0,0,0,0,0,-15,0,0,0,0,0,-15
prcp,1899,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1899,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1899,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1900,0,0,-30,-31,0,0,0,0,0,0,0,0,-61
tmax,1900,0,0,-30,-31,0,0,0,0,0,0,0,0,-61
tmin,1900,0,0,-30,-29,0,0,0,0,0,0,0,0,-59
prcp,1901,-31,-4,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-338
tmax,1901,-31,0,-29,-31,-28,-31,0,-31,0,0,0,0,-181
tmin,1901,-31,0,-30,-31,-28,-31,0,-31,0,0,0,0,-182
prcp,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1902,-31,-31,-27,-27,-28,-29,-24,-30,-30,-31,-28,-27,-343
tmin,1902,-31,-10,-30,-16,-28,-30,-20,-29,-30,-31,-23,0,-278
prcp,1903,-31,0,-30,-31,-28,-31,-30,-31,-30,-31,-12,-30,-315
tmax,1903,-29,-31,-30,-31,-20,-31,-29,-30,-29,-31,-31,-17,-339
tmin,1903,-25,-31,-30,-31,-23,-31,-30,-30,-30,-31,-31,-23,-346
prcp,1904,-31,-31,-30,-31,-29,-31,-30,-7,-30,-13,-15,-30,-308
tmax,1904,-31,-31,-30,-27,-29,-30,-29,-31,-28,-31,-31,-24,-352
tmin,1904,-31,-31,-29,-27,-29,-26,-28,-31,-30,-31,-30,-30,-353
prcp,1905,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1905,-28,-31,-27,-31,-27,-31,-30,-31,-30,-31,-31,-30,-358
tmin,1905,-27,-29,-27,-31,-28,-31,-30,-31,-30,-31,-31,-30,-356
prcp,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1906,-31,-31,-30,-31,-25,-31,-28,-31,-30,-31,-31,-30,-360
tmin,1906,-31,-31,-30,0,-25,-31,-28,-31,-30,-31,-31,-30,-329
prcp,1907,-31,-31,-30,-31,-4,-31,-7,-31,-30,-31,-31,-30,-318
tmax,1907,-31,-16,-30,-31,-15,-31,-17,-31,-30,-31,-31,-15,-309
tmin,1907,-31,-25,-30,-31,-15,-31,-12,-31,-30,-31,-31,-19,-317
prcp,1908,-31,-31,-1,-3,-29,-31,-7,-31,-8,-31,-10,-5,-218
tmax,1908,-31,-29,-14,-28,-28,-31,-15,-20,-29,-31,-31,-30,-317
tmin,1908,-31,-26,-16,-31,-28,-31,-15,-25,-29,-31,-31,-30,-324
prcp,1909,-2,-3,0,-6,-7,-31,-30,-11,-9,-3,-1,-8,-111
tmax,1909,-29,-30,-27,-31,-24,-30,-30,-30,-30,-31,-19,-29,-340
tmin,1909,-27,-26,-30,-27,-22,-26,-30,-31,-26,-27,-17,-30,-319
prcp,1910,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1910,-30,-31,-29,-31,-27,-31,-30,-31,-29,-30,-30,-29,-358
tmin,1910,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-30,-30,-364
prcp,1911,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1911,-31,-31,-30,-31,-28,-30,-30,-31,-30,-31,-31,-30,-364
tmin,1911,-31,-31,-30,-31,-28,-31,-29,-31,-30,-31,-31,-30,-364
prcp,1912,-31,-31,-30,-29,-29,-31,-30,-31,-30,-31,-31,-30,-364
tmax,1912,-31,-31,-30,-30,-29,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1912,-31,-31,-30,-31,-29,-30,-30,-31,-30,-31,-31,-30,-365
prcp,1913,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1913,-31,-31,0,0,-28,-31,-30,-31,-30,-31,-31,-30,-304
tmin,1913,-31,-31,-30,0,-28,-31,-30,-31,-29,-31,-31,-30,-333
prcp,1914,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1914,0,-31,-29,-31,-22,-31,-30,-31,-30,-31,-31,-30,-327
tmin,1914,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1915,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1915,-31,-31,-30,-31,-28,-31,-28,-31,-30,-31,-31,-30,-363
tmin,1915,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1916,-31,-31,0,-31,-29,-31,-30,-31,-30,-31,-31,-30,-336
