year,month,day,prcp,tmax,tmin
year,month,day,prcp,tmax,tmin
1891,11,1,-99.9,27.8,-99.9
1891,11,19,-99.9,-99.9,-6.1
1891,12,1,-99.9,-99.9,-8.9
1891,12,7,-99.9,26.1,-99.9
1892,1,2,-99.9,22.2,-99.9
1892,1,8,-99.9,-99.9,-8.3
1892,1,14,-99.9,22.2,-99.9
1892,1,20,-99.9,22.2,-99.9
1892,1,28,-99.9,-99.9,-8.3
1892,2,1,-99.9,-99.9,-4.4
1892,2,16,-99.9,22.8,-99.9
1892,3,20,-99.9,-99.9,-5
1892,3,31,-99.9,28.3,-99.9
1892,4,16,-99.9,-99.9,0
1892,4,19,-99.9,31.1,-99.9
1892,5,6,-99.9,34.4,-99.9
1892,5,14,-99.9,34.4,-99.9
1892,5,24,-99.9,-99.9,5.6
1892,6,14,-99.9,-99.9,15
1892,6,17,-99.9,36.7,-99.9
1892,7,8,-99.9,-99.9,17.2
1892,7,30,-99.9,37.8,-99.9
1892,8,1,-99.9,37.2,-99.9
1892,8,20,-99.9,-99.9,20.6
1892,9,12,-99.9,33.3,-99.9
1893,8,31,30.5,-99.9,-99.9
1893,9,16,-99.9,36.7,-99.9
1894,4,30,2.5,-99.9,-99.9
1894,5,17,-99.9,36.1,-99.9
1894,10,31,0,-99.9,-99.9
1894,11,12,-99.9,-99.9,-5.6
1895,1,31,0.8,-99.9,-99.9
1895,2,7,-99.9,-99.9,-12.2
1897,2,2,3.8,8.9,5
1897,2,3,-99.9,7.8,-0.6
1897,2,4,-99.9,3.3,-1.1
1897,2,6,74.9,13.9,10
1897,2,8,4.3,18.9,3.9
1897,2,9,-99.9,13.9,5.6
1897,2,13,0.5,-99.9,-99.9
1897,2,14,-99.9,20,7.8
1897,2,17,2,19.4,2.2
1897,2,18,-99.9,15.6,-99.9
1897,2,20,-99.9,18.3,6.1
1897,2,21,-99.9,17.2,9.4
1903,7,31,0,33.9,23.3
1903,8,1,-99.9,33.9,22.2
1903,8,2,-99.9,37.2,23.3
1903,8,3,-99.9,36.1,22.8
1903,8,6,0,36.7,22.2
1903,8,8,0,36.1,21.7
1903,8,10,0,35,20.6
1903,8,13,0,33.3,21.1
1903,8,16,0,31.7,22.2
1903,8,21,24.6,30.6,20.6
1903,8,22,-99.9,31.7,20
1903,8,23,-99.9,32.8,20.6
1903,8,24,-99.9,33.9,22.2
1903,8,25,-99.9,35,22.8
1903,8,26,-99.9,37.8,23.9
1903,8,27,-99.9,37.2,23.3
1903,8,28,-99.9,37.8,23.3
1903,8,29,-99.9,37.8,22.8
1903,8,30,-99.9,36.7,21.7
1903,9,30,0,27.2,18.9
1903,10,1,-99.9,28.9,12.8
1903,10,2,-99.9,30.6,13.3
1903,10,3,-99.9,31.1,13.9
1903,10,4,-99.9,30,16.1
1903,10,5,-99.9,30.6,15
1903,10,6,-99.9,30.6,16.7
1903,10,7,-99.9,31.1,19.4
1903,10,8,-99.9,23.9,20
1903,10,9,-99.9,23.3,8.3
1903,10,10,-99.9,23.9,8.9
1903,10,11,-99.9,24.4,8.9
1903,10,12,-99.9,26.7,9.4
1903,10,13,-99.9,28.9,10.6
1903,10,14,-99.9,30,11.1
1903,10,15,-99.9,23.3,12.8
1903,10,16,-99.9,24.4,15
1903,10,17,-99.9,21.7,16.1
1903,10,18,-99.9,18.9,8.9
1903,10,19,-99.9,20.6,5
1903,10,20,-99.9,25,4.4
1903,10,21,-99.9,28.3,5
1903,10,22,-99.9,27.2,7.2
1903,10,23,-99.9,23.3,9.4
1903,10,24,-99.9,12.2,8.9
1903,10,25,-99.9,16.1,0
1903,10,26,-99.9,25,1.7
1903,10,27,-99.9,17.8,3.3
1903,10,28,-99.9,20,0
1903,10,29,-99.9,23.3,0.6
1903,10,30,-99.9,22.8,1.7
1904,4,30,0,20.6,7.2
1904,5,1,-99.9,26.1,9.4
1904,5,2,-99.9,28.9,16.1
1904,5,3,-99.9,26.1,12.2
1904,5,4,-99.9,27.8,15
1904,5,5,-99.9,26.1,15
1904,5,6,-99.9,28.9,13.9
1904,5,9,0,29.4,18.3
1904,5,10,-99.9,31.7,13.3
1904,5,11,-99.9,30.6,8.3
1904,5,12,-99.9,29.4,8.9
1904,5,13,-99.9,30.6,10.6
1904,5,15,0,25.6,10.6
1904,5,17,22.9,30,13.3
1904,5,19,0,28.9,9.4
1904,5,20,-99.9,30.6,8.3
1904,5,21,-99.9,30.6,12.2
1904,5,22,-99.9,31.7,10.6
1904,5,23,-99.9,32.8,11.7
1904,5,24,-99.9,33.9,14.4
1904,5,25,-99.9,35,15
1904,5,26,-99.9,33.9,13.3
1904,5,27,-99.9,32.8,16.7
1904,5,28,-99.9,35.6,20.6
1904,7,1,11.9,28.3,20
1904,7,3,0,34.4,19.4
1904,7,4,-99.9,34.4,20
1904,7,6,0,35.6,32.2
1904,7,8,0,35.6,32.8
1904,7,9,-99.9,35,22.8
1904,7,11,0,36.1,21.1
1904,7,13,18.3,31.1,18.9
1904,7,14,-99.9,33.9,20
1904,7,15,-99.9,36.1,20
1904,7,18,24.6,34.4,20
1904,7,19,-99.9,35,20.6
1904,7,20,-99.9,36.7,21.7
1904,7,21,-99.9,37.8,22.2
1904,7,25,0,25.6,21.1
1904,7,26,-99.9,29.4,16.7
1904,7,27,-99.9,31.7,19.4
1904,7,29,0,31.1,21.7
1904,8,11,0,32.8,18.9
1904,8,13,0,32.2,20.6
1904,8,14,-99.9,34.4,20.6
1904,8,16,5.1,31.1,20
1904,8,17,-99.9,33.9,20.6
1904,8,18,-99.9,33.9,21.7
1904,8,19,-99.9,33.3,20.6
1904,8,20,-99.9,33.9,21.7
1904,8,21,-99.9,35,-99.9
1904,8,22,-99.9,36.7,22.8
1904,8,23,-99.9,37.2,22.8
1904,8,24,-99.9,33.3,21.1
1904,8,25,-99.9,33.9,20.6
1904,8,28,24.1,25,16.1
1904,8,29,-99.9,31.1,15.6
1904,8,30,-99.9,32.2,17.2
1907,2,2,0,19.4,6.7
1907,2,3,-99.9,25,12.2
1907,2,5,44.5,11.7,3.3
1907,2,6,-99.9,11.1,0.6
1907,2,8,8.4,4.4,-2.2
1907,2,9,-99.9,8.3,-4.4
1907,2,10,-99.9,15,-1.1
1907,2,11,-99.9,19.4,5.6
1907,2,12,-99.9,14.4,-1.1
1907,2,13,-99.9,16.7,0
1907,2,14,-99.9,20,0.6
1907,3,31,0,17.8,13.3
1907,4,1,-99.9,13.3,-99.9
1907,4,2,-99.9,-99.9,1.1
1907,4,12,12.7,-99.9,-99.9
1907,4,13,-99.9,15.6,2.2
1907,4,14,-99.9,15,-1.1
1907,4,19,8.1,-99.9,-99.9
1907,4,23,28.7,26.1,2.8
1907,4,24,-99.9,25.6,-99.9
1907,4,25,-99.9,27.8,10
1907,4,26,-99.9,26.1,-99.9
1907,4,27,-99.9,29.4,18.9
1907,4,28,-99.9,26.1,-99.9
1907,4,29,-99.9,30.6,-99.9
1908,4,18,0,15,5.6
1908,4,19,-99.9,25.6,14.4
1908,4,20,-99.9,30,11.7
1908,4,21,-99.9,30,12.8
1908,4,23,44.5,23.3,17.2
1908,4,24,-99.9,26.1,12.8
1908,4,28,5.1,23.3,11.7
1908,4,29,-99.9,22.2,10.6
1908,5,31,6.4,34.4,19.4
1908,6,1,-99.9,34.4,16.1
1908,6,3,41.9,36.7,17.8
1908,6,4,-99.9,33.3,18.3
1908,6,5,-99.9,34.4,19.4
1908,6,7,4.8,27.2,18.3
1908,6,8,-99.9,28.3,16.1
1908,6,9,-99.9,30.6,16.7
1908,6,11,10.7,35.6,19.4
1908,6,12,-99.9,33.3,18.9
1908,6,13,-99.9,32.8,17.2
1908,6,15,22.9,33.3,18.3
1908,6,16,-99.9,28.3,16.1
1908,6,18,4.6,32.2,21.1
1908,6,19,-99.9,35.6,21.1
1908,6,21,5.6,35,19.4
1908,6,23,10.2,35,21.1
1908,6,25,12.7,-99.9,19.4
1908,6,26,-99.9,30,18.3
1908,6,27,-99.9,30,19.4
1908,6,28,-99.9,31.1,17.2
1908,6,29,-99.9,36.7,14.4
1908,7,31,0,31.1,21.7
