title,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
prcp,1919,0,-5,-30,-31,0,0,0,0,0,0,0,0,-66
tmax,1919,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1919,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1920,-31,0,-30,-31,-29,-31,-30,-2,-4,-31,-31,-30,-280
tmax,1920,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1920,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1921,-31,-31,-30,-31,-28,-31,-30,-31,-8,-31,-9,-30,-321
tmax,1921,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1921,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1922,-31,-31,-30,-31,-9,-31,-30,-31,-30,-20,-31,-1,-306
tmax,1922,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1922,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1923,-31,-31,-30,-31,-28,-9,-30,-31,-30,-31,-31,-30,-343
tmax,1923,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1923,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1924,-31,0,0,0,-29,-31,-30,-31,-30,-31,-31,-30,-274
tmax,1924,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1924,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1925,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1925,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1925,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1926,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1926,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1926,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1927,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1928,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1928,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1928,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1929,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1929,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1929,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1930,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1931,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1931,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1931,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1932,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1932,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1932,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1933,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1933,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1933,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1934,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1934,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1934,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1935,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1935,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1935,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1936,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1936,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1936,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1937,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1937,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1937,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1938,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1938,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1938,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1939,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1939,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1939,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1940,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1940,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1940,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1941,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1941,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1941,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1942,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1942,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1942,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1943,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1943,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1943,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1944,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1944,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1944,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1945,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1945,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1945,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1946,0,0,0,0,0,0,0,0,0,0,0,0,0
tmax,1946,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1946,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1947,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1947,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1947,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1948,-31,-31,-30,-29,-29,-31,-30,-31,-30,-31,-31,-30,-364
tmax,1948,0,0,0,0,0,0,0,0,0,0,0,0,0
tmin,1948,0,0,0,0,0,0,0,0,0,0,0,0,0
prcp,1949,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
