year,month,day,prcp,tmax,tmin
1922,2,2,20.8,-99.9,-99.9
1922,2,3,-99.9,-99.9,-99.9
1922,2,6,3,-99.9,-99.9
1922,2,7,-99.9,-99.9,-99.9
1922,2,8,-99.9,-99.9,-99.9
1922,2,9,-99.9,-99.9,-99.9
1922,2,10,-99.9,-99.9,-99.9
1922,2,11,-99.9,-99.9,-99.9
1922,2,12,-99.9,-99.9,-99.9
1922,2,16,20.3,-99.9,-99.9
1922,2,17,-99.9,-99.9,-99.9
1922,2,18,-99.9,-99.9,-99.9
1922,2,19,-99.9,-99.9,-99.9
1922,2,20,-99.9,-99.9,-99.9
1922,2,21,-99.9,-99.9,-99.9
1922,2,22,-99.9,-99.9,-99.9
1922,2,24,15.5,-99.9,-99.9
1922,2,26,5.8,-99.9,-99.9
1922,2,27,-99.9,-99.9,-99.9
1923,2,28,0,-99.9,-99.9
1923,3,1,-99.9,-99.9,-99.9
1923,3,2,-99.9,-99.9,-99.9
1923,3,3,-99.9,-99.9,-99.9
1923,3,4,-99.9,-99.9,-99.9
1923,3,5,-99.9,-99.9,-99.9
1923,3,7,21.1,-99.9,-99.9
1923,3,8,-99.9,-99.9,-99.9
1923,3,9,-99.9,-99.9,-99.9
1923,3,10,-99.9,-99.9,-99.9
1923,3,11,-99.9,-99.9,-99.9
1923,3,13,21.8,-99.9,-99.9
1923,3,14,-99.9,-99.9,-99.9
1923,3,19,19.8,-99.9,-99.9
1923,3,20,-99.9,-99.9,-99.9
1923,3,21,-99.9,-99.9,-99.9
1923,3,22,-99.9,-99.9,-99.9
1923,3,24,7.6,-99.9,-99.9
1923,3,26,2.8,-99.9,-99.9
1923,3,27,-99.9,-99.9,-99.9
1923,3,28,-99.9,-99.9,-99.9
1923,3,30,18.8,-99.9,-99.9
1948,12,28,0,-99.9,-99.9
1948,12,29,-99.9,-99.9,-99.9
1958,12,10,0,15.6,2.2
1958,12,11,-99.9,7.8,-0.6
1959,3,20,0,16.7,3.9
1959,3,21,-99.9,18.3,12.8
1961,1,25,0,12.2,-2.2
1961,1,26,-99.9,0.6,-4.4
1963,1,17,0,11.7,-3.9
1977,11,30,15.5,-99.9,-99.9
1977,12,1,-99.9,-99.9,-99.9
1977,12,2,-99.9,-99.9,-99.9
1977,12,3,-99.9,-99.9,-99.9
1977,12,4,-99.9,-99.9,-99.9
1977,12,5,-99.9,-99.9,-99.9
1977,12,6,-99.9,-99.9,-99.9
1977,12,7,-99.9,-99.9,-99.9
1977,12,8,-99.9,-99.9,-99.9
1977,12,9,-99.9,-99.9,-99.9
1977,12,10,-99.9,-99.9,-99.9
1977,12,11,-99.9,-99.9,-99.9
1977,12,12,-99.9,-99.9,-99.9
1977,12,13,-99.9,-99.9,-99.9
1977,12,14,-99.9,-99.9,-99.9
1989,2,22,3.3,15.6,5
1993,11,29,0,17.2,0
1995,6,30,0,32.8,20.6
1995,7,1,-99.9,30.6,21.7
1995,7,2,-99.9,33.9,18.3
1995,7,3,-99.9,32.2,20.6
1995,7,4,-99.9,33.9,20.6
1995,7,5,-99.9,37.8,22.2
1995,7,6,-99.9,36.1,21.7
1995,7,7,-99.9,33.9,21.1
1995,7,8,-99.9,32.2,20
1995,7,9,-99.9,34.4,21.1
1995,7,10,-99.9,37.8,21.1
1995,7,11,-99.9,36.1,21.7
1995,7,12,-99.9,35,19.4
1995,7,13,-99.9,35,21.7
1995,7,14,-99.9,32.8,22.2
1995,7,15,-99.9,36.1,22.8
1995,7,16,-99.9,37.2,23.3
1995,7,17,-99.9,32.8,22.2
1995,7,18,-99.9,33.9,22.8
1995,7,19,-99.9,35,22.8
1995,7,20,-99.9,35,23.3
1995,7,21,-99.9,36.1,24.4
1995,7,22,-99.9,35,22.8
1995,7,23,-99.9,36.1,23.3
1995,7,24,-99.9,36.1,22.8
1995,7,25,-99.9,38.3,22.8
1995,7,26,-99.9,33.9,21.1
1995,7,27,-99.9,31.7,22.2
1995,7,28,-99.9,32.8,23.3
1995,7,29,-99.9,35,22.8
1995,7,30,-99.9,34.4,22.2
2004,10,10,0,27.8,17.2
2006,10,31,0,26.7,6.7
2007,2,12,0,22.2,1.7
2007,2,13,-99.9,-99.9,-99.9
2007,2,19,0,11.7,-3.9
2007,2,20,-99.9,-99.9,-99.9
2007,5,31,0,35,13.9
2007,6,1,-99.9,-99.9,-99.9
2007,6,2,-99.9,-99.9,-99.9
2007,6,4,0.5,32.2,19.4
2007,6,5,-99.9,-99.9,-99.9
2007,6,18,6.4,36.7,19.4
2007,6,19,-99.9,-99.9,-99.9
2007,10,18,4.8,32.2,17.2
2007,10,23,0,28.9,18.9
2007,10,24,-99.9,-99.9,-99.9
2007,10,25,-99.9,-99.9,-99.9
2008,1,6,0,15.6,-3.9
2008,1,7,-99.9,-99.9,-99.9
2008,1,10,0,-99.9,-99.9
2008,1,11,-99.9,-99.9,-99.9
2008,1,19,26.4,7.8,-1.1
2008,1,20,-99.9,-99.9,-99.9
2008,1,21,-99.9,-99.9,-99.9
2008,1,22,-99.9,-99.9,-99.9
2008,1,28,0,17.8,-2.2
2008,1,29,-99.9,-99.9,-99.9
2008,4,18,0,28.9,1.7
2008,4,19,-99.9,-99.9,-99.9
2008,4,27,0,28.9,12.8
2008,4,28,-99.9,-99.9,-99.9
2008,7,27,0,35,20.6
2008,9,23,0,30.6,14.4
2008,9,24,-99.9,-99.9,-99.9
2008,9,25,-99.9,-99.9,-99.9
2008,11,4,0,15.6,12.2
