year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1953,6,2,20.85,39.4,41.15,8.23,15.6,26.91,3.81,23.8,23.05
1954,1,22,-4.85,24.4,31.75,-15.38,17.2,15.89,-1.34,7.2,27.73
1954,5,14,18.31,17.8,38.62,4.82,14.4,24.74,3.38,3.4,24
1954,5,15,18.33,16.7,39.45,5.37,11.7,24.84,2.18,5,25.49
1956,4,12,11.74,10.6,36.61,-4.64,4.4,24.9,-1.1,6.2,29.2
1956,9,10,22.41,26.1,39.11,9.6,8.3,27.78,2.48,17.8,21.66
1956,9,11,21.95,25.6,39.65,8.3,7.8,28.43,2.58,17.8,22.29
1957,7,28,24.92,23.9,41.13,16.15,20.6,27.43,2.76,3.3,19.71
1957,10,27,10.78,10.6,35.72,-5.24,7.2,23.77,-0.74,3.4,28.71
1958,3,20,4.5,4.4,36.95,-6.2,0.6,20,0.91,3.8,26.74
1958,4,5,9.22,8.9,39.18,-4.79,7.8,23.35,2.53,1.1,27.31
1958,6,24,23.14,22.2,42.18,13.34,17.8,27.3,3.38,4.4,21.3
1958,10,3,14.01,12.8,40.59,1.16,11.7,26.99,-0.69,1.1,27.14
1959,4,14,11,10,38.39,-3.02,3.9,24.34,0.81,6.1,27.26
1960,3,12,2.38,0.6,38.14,-9.61,-2.2,21.74,-0.25,2.8,28.63
1961,6,17,20.94,18.3,42.76,11.9,14.4,27.2,3.5,3.9,21.1
1961,6,19,21.37,26.1,41.51,12.29,11.7,26.72,3.22,14.4,20.65
1961,8,27,23.31,23.9,41.1,13.86,21.7,26.98,2.7,2.2,20.88
1963,1,24,-3.49,19.4,32.51,-15.21,-9.4,18.21,-1.22,28.8,27.24
1963,5,14,18.31,17.8,38.62,4.82,13.9,24.74,3.38,3.9,24
1963,7,11,23.81,25,42.09,15.16,13.9,27.04,3.67,11.1,20.02
1963,7,12,24.88,30.6,41.03,15.03,15,26.94,3.43,15.6,20.51
1963,9,15,18.34,18.3,41.66,7.01,10.6,27.86,1.33,7.7,23.8
