year,month,day,prcp,tmax,tmin
year,month,day,prcp,tmax,tmin
1919,10,1,0,-99.9,-99.9
1919,10,2,2.8,-99.9,-99.9
1919,10,15,10.4,-99.9,-99.9
1919,10,18,31.8,-99.9,-99.9
1919,10,24,0.5,-99.9,-99.9
1919,11,1,0,-99.9,-99.9
1919,11,2,9.1,-99.9,-99.9
1919,11,3,0,-99.9,-99.9
1919,11,4,0,-99.9,-99.9
1919,11,5,0,-99.9,-99.9
1919,11,6,0,-99.9,-99.9
1919,11,7,0,-99.9,-99.9
1919,11,8,0,-99.9,-99.9
1919,11,9,0,-99.9,-99.9
1919,11,10,0,-99.9,-99.9
1919,11,11,0,-99.9,-99.9
1919,11,12,0,-99.9,-99.9
1919,11,13,0,-99.9,-99.9
1919,11,14,0,-99.9,-99.9
1919,11,15,0,-99.9,-99.9
1919,11,16,0,-99.9,-99.9
1919,11,17,0,-99.9,-99.9
1919,11,18,0,-99.9,-99.9
1919,11,19,0,-99.9,-99.9
1919,11,20,0,-99.9,-99.9
1919,11,21,0,-99.9,-99.9
1919,11,22,0,-99.9,-99.9
1919,11,23,0,-99.9,-99.9
1919,11,24,0,-99.9,-99.9
1919,11,25,0,-99.9,-99.9
1919,11,26,0,-99.9,-99.9
1919,11,27,0,-99.9,-99.9
1919,11,28,0,-99.9,-99.9
1919,11,29,0,-99.9,-99.9
1919,11,30,0,-99.9,-99.9
1919,12,1,0,-99.9,-99.9
1919,12,2,0,-99.9,-99.9
1919,12,3,0,-99.9,-99.9
1919,12,4,0,-99.9,-99.9
1919,12,5,0,-99.9,-99.9
1919,12,6,0,-99.9,-99.9
1919,12,7,9.7,-99.9,-99.9
1919,12,8,0,-99.9,-99.9
1919,12,9,0,-99.9,-99.9
1919,12,10,5.3,-99.9,-99.9
1919,12,11,4.6,-99.9,-99.9
1919,12,12,0,-99.9,-99.9
1919,12,13,1,-99.9,-99.9
1919,12,14,0,-99.9,-99.9
1919,12,15,0,-99.9,-99.9
1919,12,16,0,-99.9,-99.9
1919,12,17,0,-99.9,-99.9
1919,12,18,0,-99.9,-99.9
1919,12,19,7.6,-99.9,-99.9
1919,12,20,0,-99.9,-99.9
1919,12,21,0,-99.9,-99.9
1919,12,22,0,-99.9,-99.9
1919,12,23,0,-99.9,-99.9
1919,12,24,0,-99.9,-99.9
1919,12,25,0,-99.9,-99.9
1919,12,26,0,-99.9,-99.9
1919,12,27,0,-99.9,-99.9
1919,12,28,0,-99.9,-99.9
1919,12,29,0,-99.9,-99.9
1919,12,30,0,-99.9,-99.9
1919,12,31,0,-99.9,-99.9
1920,1,1,13.5,-99.9,-99.9
1920,1,2,0,-99.9,-99.9
1920,1,3,0,-99.9,-99.9
1920,1,4,0,-99.9,-99.9
1920,1,5,0,-99.9,-99.9
1920,1,6,0,-99.9,-99.9
1920,1,7,5.1,-99.9,-99.9
1920,1,8,0,-99.9,-99.9
1920,1,9,0,-99.9,-99.9
1920,1,10,0,-99.9,-99.9
1920,1,11,0,-99.9,-99.9
1920,1,12,0,-99.9,-99.9
1920,1,13,0,-99.9,-99.9
1920,1,14,0,-99.9,-99.9
1920,1,15,0,-99.9,-99.9
1920,1,16,6.6,-99.9,-99.9
1920,1,17,0,-99.9,-99.9
1920,1,18,0,-99.9,-99.9
1920,1,19,0,-99.9,-99.9
1920,1,20,0,-99.9,-99.9
1920,1,21,0,-99.9,-99.9
1920,1,22,0,-99.9,-99.9
1920,1,23,0,-99.9,-99.9
1920,1,24,0,-99.9,-99.9
1920,1,25,7.1,-99.9,-99.9
1920,1,26,0,-99.9,-99.9
1920,1,27,20.8,-99.9,-99.9
1920,1,28,0,-99.9,-99.9
1920,1,29,0,-99.9,-99.9
1920,1,30,0,-99.9,-99.9
1920,1,31,0,-99.9,-99.9
1920,2,1,0,-99.9,-99.9
1920,2,2,0,-99.9,-99.9
1920,2,3,13.5,-99.9,-99.9
1920,2,4,1.5,-99.9,-99.9
1920,2,5,0,-99.9,-99.9
1920,2,6,0,-99.9,-99.9
1920,2,7,0,-99.9,-99.9
1920,2,8,0,-99.9,-99.9
1920,2,9,0,-99.9,-99.9
1920,2,10,0,-99.9,-99.9
1920,2,11,0.3,-99.9,-99.9
1920,2,12,0,-99.9,-99.9
1920,2,13,50.8,-99.9,-99.9
1920,2,14,0,-99.9,-99.9
1920,2,15,0,-99.9,-99.9
1920,2,16,0,-99.9,-99.9
1920,2,17,0,-99.9,-99.9
1920,2,18,1.3,-99.9,-99.9
1920,2,19,0,-99.9,-99.9
1920,2,20,0,-99.9,-99.9
1920,2,21,0,-99.9,-99.9
1920,2,22,7.1,-99.9,-99.9
1920,2,23,0,-99.9,-99.9
1920,2,24,13.5,-99.9,-99.9
1920,2,25,0,-99.9,-99.9
1920,2,26,0,-99.9,-99.9
1920,2,27,0,-99.9,-99.9
1920,2,28,0,-99.9,-99.9
1920,2,29,0.3,-99.9,-99.9
1920,3,1,0,-99.9,-99.9
1920,3,2,0,-99.9,-99.9
1920,3,3,0,-99.9,-99.9
1920,3,4,20.3,-99.9,-99.9
1920,3,5,0,-99.9,-99.9
1920,3,6,0,-99.9,-99.9
1920,3,7,0,-99.9,-99.9
1920,3,8,0,-99.9,-99.9
1920,3,9,0,-99.9,-99.9
1920,3,10,0,-99.9,-99.9
1920,3,11,0,-99.9,-99.9
1920,3,12,0,-99.9,-99.9
1920,3,13,0,-99.9,-99.9
1920,3,14,0,-99.9,-99.9
1920,3,15,0,-99.9,-99.9
1920,3,16,0,-99.9,-99.9
1920,3,17,30.5,-99.9,-99.9
1920,3,18,0,-99.9,-99.9
1920,3,19,13.7,-99.9,-99.9
1920,3,20,0,-99.9,-99.9
1920,3,21,0,-99.9,-99.9
1920,3,22,0,-99.9,-99.9
1920,3,23,0,-99.9,-99.9
1920,3,24,0,-99.9,-99.9
1920,3,25,0,-99.9,-99.9
1920,3,26,0,-99.9,-99.9
1920,3,27,0,-99.9,-99.9
1920,3,28,61,-99.9,-99.9
1920,3,29,50.8,-99.9,-99.9
1920,3,30,0,-99.9,-99.9
1920,3,31,0,-99.9,-99.9
1920,4,1,0,-99.9,-99.9
1920,4,2,25.9,-99.9,-99.9
1920,4,3,14,-99.9,-99.9
1920,4,4,0,-99.9,-99.9
1920,4,5,0,-99.9,-99.9
1920,4,6,0,-99.9,-99.9
1920,4,7,0,-99.9,-99.9
1920,4,8,0,-99.9,-99.9
1920,4,9,27.9,-99.9,-99.9
1920,4,10,0,-99.9,-99.9
1920,4,11,0,-99.9,-99.9
1920,4,12,0,-99.9,-99.9
1920,4,13,0,-99.9,-99.9
1920,4,14,0,-99.9,-99.9
1920,4,15,0,-99.9,-99.9
1920,4,16,6.6,-99.9,-99.9
1920,4,17,0,-99.9,-99.9
1920,4,18,0,-99.9,-99.9
1920,4,19,0,-99.9,-99.9
1920,4,20,0,-99.9,-99.9
1920,4,21,0,-99.9,-99.9
1920,4,22,0,-99.9,-99.9
1920,4,23,0,-99.9,-99.9
1920,4,24,0,-99.9,-99.9
1920,4,25,0,-99.9,-99.9
1920,4,26,2.5,-99.9,-99.9
1920,4,27,1.3,-99.9,-99.9
1920,4,28,0,-99.9,-99.9
1920,4,29,0,-99.9,-99.9
1920,4,30,0,-99.9,-99.9
1920,5,13,2.5,-99.9,-99.9
1920,5,25,5.1,-99.9,-99.9
1920,6,4,3.8,-99.9,-99.9
1920,6,5,27.9,-99.9,-99.9
1920,6,15,0,-99.9,-99.9
1920,6,24,0,-99.9,-99.9
1920,7,1,0,-99.9,-99.9
1920,7,2,0,-99.9,-99.9
1920,7,3,47.8,-99.9,-99.9
1920,7,4,0,-99.9,-99.9
1920,7,5,0,-99.9,-99.9
1920,7,6,0,-99.9,-99.9
1920,7,7,0,-99.9,-99.9
