title,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ann
prcp,1899,-31,-31,-30,-31,-13,-31,-30,-31,-30,-31,-31,-30,-350
tmax,1899,-31,-31,-30,-31,-13,-31,-30,-31,-30,-31,-31,-30,-350
tmin,1899,-31,-31,-30,-31,-13,-31,-30,-31,-30,-31,-31,-30,-350
prcp,1900,-31,-31,-30,0,-28,-31,-30,-31,-30,-31,-31,-30,-334
tmax,1900,-31,-31,-30,0,-28,-31,-30,-31,-30,-31,-31,-30,-334
tmin,1900,-31,-31,-30,0,-28,-31,-30,-31,-30,-31,-31,-30,-334
prcp,1901,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1901,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1901,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1902,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
prcp,1903,-31,-31,-29,-28,-28,-31,-30,-18,-30,-31,-31,-30,-348
tmax,1903,-31,-31,-29,-28,-28,-31,-30,-18,-30,-31,-31,-30,-348
tmin,1903,-31,-31,-29,-28,-28,-31,-30,-18,-30,-31,-31,-30,-348
prcp,1904,-31,-30,-30,-31,-27,-31,-29,-31,-30,-31,-31,-30,-362
tmax,1904,-31,-30,-30,-31,-27,-31,-29,-31,-30,-31,-31,-30,-362
tmin,1904,-31,-30,-30,-31,-27,-31,-29,-31,-30,-31,-31,-30,-362
prcp,1905,-30,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-364
tmax,1905,-30,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-364
tmin,1905,-30,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-364
prcp,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmax,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
tmin,1906,-31,-31,-30,-31,-28,-31,-30,-31,-30,-31,-31,-30,-365
