year,month,day,tmaxlow,tmax,tmaxup,tminlow,tmin,tminup,dtrlow,dtr,dtrup
1899,2,13,-0.34,-3.3,35.25,-14.15,-12.8,19.47,-0.79,9.5,30.38
1899,4,5,10.73,10.6,38.98,-4.32,2.2,23.4,2.56,8.4,28.06
1899,5,25,20.58,18.3,40.82,5.72,12.2,26.41,3.15,6.1,26.12
1899,6,19,22.37,22.2,42.4,11.59,11.7,26.76,3.43,10.5,22.99
1899,10,6,16.67,20,39.27,1.08,19.4,27.76,0.74,0.6,26.36
1901,2,24,2.16,1.1,36.28,-12.54,-6.7,23.04,-0.03,7.8,27.97
1901,2,25,2.81,1.7,35.85,-11.25,-5.6,20.69,-0.98,7.3,30.2
1901,4,21,13.28,12.2,39.58,-3.11,5.6,25.52,2.31,6.6,28.13
1901,4,22,14.76,10.6,38.45,-1.88,5,24.73,2.27,5.6,28.09
1901,4,23,14.96,12.2,38.14,-1.22,6.1,23.68,1.98,6.1,28.65
1901,6,1,22.51,19.4,39.91,7.57,15.6,26.19,3.72,3.8,24.93
1901,6,14,23.24,25,41.07,10.33,21.7,27.44,3.59,3.3,22.95
1903,5,9,17.69,17.2,39.68,2.32,14.4,25.5,2.45,2.8,27.1
1903,5,11,19.02,20.6,38.62,2.15,16.7,25.13,4.26,3.9,26.1
1903,7,10,24.82,23.9,41.55,14.17,21.1,27.21,4.11,2.8,20.89
1903,10,25,11.79,8.3,36.54,-6.99,1.7,26.11,0.38,6.6,28.83
1903,11,28,4.38,1.7,34.67,-14.36,-7.2,24.78,-0.54,8.9,29.17
1904,4,22,14.76,12.8,38.45,-1.88,5.6,24.73,2.27,7.2,28.09
1904,7,25,26.81,26.7,39.94,15.53,20.6,26.48,4.79,6.1,19.96
1904,8,5,24.94,26.1,41.01,15.33,22.2,25.91,3.95,3.9,20.76
1905,2,5,-0.75,-1.1,33.42,-14.97,-3.3,19.86,-1.39,2.2,29.17
1905,7,12,24.54,23.9,41.76,14.87,22.2,26.57,3.29,1.7,21.57
1905,7,15,25.82,26.7,40.94,15.18,22.2,26.8,4.57,4.5,20.21
1905,8,27,23.64,22.2,40.72,11.99,18.9,27.23,3.59,3.3,21.56
1906,5,11,19.02,18.3,38.62,2.15,7.2,25.13,4.26,11.1,26.1
1906,5,24,20.25,19.4,41.06,5.32,17.2,27.16,1.5,2.2,27.33
1906,5,26,20.09,21.7,40.71,7.07,20,26.2,1.79,1.7,25.75
1906,10,12,16.3,14.4,36.49,-1.81,2.2,25.51,1.93,12.2,27.17
1907,4,2,10.4,7.2,38.47,-5.96,1.7,23.63,1.13,5.5,30.07
1907,8,16,27.05,26.7,38.8,14.37,20,27,4.09,6.7,20.38
1907,10,10,16.66,15,36.38,-1.19,11.7,26.6,1.31,3.3,26.32
1908,8,28,22.93,21.7,40.84,12.5,17.8,27.33,2.61,3.9,21.33
1909,4,26,16.41,15.6,38.3,0.39,13.3,23.74,2.19,2.3,28.38
1909,8,9,26.31,23.9,39.97,14.34,22.2,27.17,4.85,1.7,19.92
1909,12,31,-0.57,-1.1,33.82,-15.31,-8.9,22.16,-1.69,7.8,28.09
1910,6,14,23.24,23.3,41.07,10.33,20.6,27.44,3.59,2.7,22.95
1910,7,20,25.97,22.2,41.28,15.4,17.8,26.57,4.75,4.4,20.51
1910,7,21,24.71,21.1,42.29,15.45,17.2,26.35,3.94,3.9,21.25
1910,7,22,25.84,23.9,40.96,14.32,17.8,27.26,4.53,6.1,20.69
1910,10,31,10.69,7.2,36.19,-7.74,-0.6,26.17,-1.47,7.8,29.92
1911,7,27,25.31,28.9,41.06,15.36,15,26.48,4.21,13.9,20.33
1911,7,28,25.66,29.4,40.9,14.91,14.4,27.41,3.85,15,20.4
1911,12,1,2.11,0,33.43,-15.11,-3.9,21.41,-0.65,3.9,29.89
1912,1,15,-2.45,-3.3,33.98,-15.61,-3.9,19.81,-1.15,0.6,28.48
1912,4,14,11.58,16.7,38.25,-4.16,16.1,24.45,1.29,0.6,28.24
1912,6,9,23,22.2,41.12,10.49,13.3,26.45,3.96,8.9,23.22
1912,9,2,24.18,41.1,39.87,13.15,23.3,25.97,3.7,17.8,21.22
1912,9,23,20.55,22.2,39.06,6.12,20.6,27.08,2.23,1.6,24.12
1913,5,30,21.52,36.7,39.9,7.69,12.2,25.9,3.58,24.5,24.25
1914,3,22,4.74,3.3,39.36,-9.61,-1.1,23.51,2.13,4.4,28.06
1914,3,23,7.45,6.7,36.84,-9.51,-2.8,23.61,1.06,9.5,29.12
1914,8,2,25.89,23.9,40.3,15.21,18.9,26.63,4.7,5,19.66
1914,9,11,22.67,24.4,39.67,8.28,5.6,27.95,3.22,18.8,22.88
1914,9,12,22.07,26.7,39.64,8.41,7.2,28.09,3.06,19.5,22.15
1914,11,21,4.02,2.8,35.18,-11.25,-6.1,21.57,0.1,8.9,28.78
1915,4,1,9.5,7.2,38.6,-6.57,-2.2,24.67,1.13,9.4,28.87
1915,4,3,10.55,8.9,39.2,-5.94,1.7,23.28,3.03,7.2,29.39
1915,4,4,11.08,5.6,38.24,-5.14,-0.6,24.22,2.67,6.2,27.57
1915,7,25,26.81,31.1,39.94,15.53,15,26.48,4.79,16.1,19.96
1915,7,26,26.26,32.2,40.62,15.48,13.9,26.56,5.56,18.3,19.28
1915,7,27,25.31,33.3,41.06,15.36,14.4,26.48,4.21,18.9,20.33
1916,7,15,25.82,25.6,40.94,15.18,21.7,26.8,4.57,3.9,20.21
1917,6,20,22.91,22.8,41.83,12.76,17.2,26.24,3.49,5.6,22.26
1917,9,14,20.9,18.9,40.16,7.99,13.9,28.42,1.2,5,23.45
