year,month,day,prcp,tmax,tmin
1899,2,20,NA,16.7,2.8
1899,2,21,NA,NA,NA
1899,2,22,NA,NA,NA
1899,2,23,NA,NA,NA
1899,2,24,NA,NA,NA
1903,12,30,0,16.7,1.1
1904,1,31,0,7.2,-2.2
1904,10,3,17.8,31.7,18.9
1904,12,31,0,12.8,-2.2
1907,3,31,0,33.3,13.9
1909,12,31,0,-1.1,-8.9
1910,11,14,0,12.8,2.8
1910,11,25,0,22.8,10
1911,2,23,0,7.2,-2.8
1912,2,9,0,15.6,0
1912,2,27,5.1,12.8,5.6
1912,2,28,0,NA,3.9
1912,10,17,0,24.4,9.4
1913,1,1,68.6,10.6,7.8
1913,1,2,0,NA,3.9
1913,1,12,0,21.7,8.3
1913,1,14,0,11.1,1.1
1913,1,18,0,23.9,11.7
1913,1,19,0,NA,8.9
1913,1,20,0,NA,10
1913,1,25,0,27.8,15.6
1913,1,28,6.1,22.2,6.7
1913,1,29,0.3,NA,0.6
1913,2,25,0.3,23.9,3.9
1913,5,31,0,37.2,18.3
1914,1,18,0,18.9,-3.9
1914,2,11,0,12.8,3.3
1914,2,15,0,4.4,-3.3
1914,2,16,0,NA,NA
1914,2,26,10.2,2.8,-5
1914,12,31,0,16.7,0.6
1916,6,6,0,31.7,16.7
1916,6,7,13.7,NA,17.2
1916,6,12,2.5,33.9,15.6
1917,4,13,0,27.8,15
1918,1,30,0,20.6,10
1919,12,20,0,10.6,6.7
1923,10,22,0,17.8,8.3
1925,12,30,0,7.2,-4.4
1928,7,28,0,28.3,22.8
1928,11,22,0,17.8,2.2
1928,11,25,0,16.1,5
1929,1,16,0,17.8,10.6
1929,1,25,0,21.7,13.3
1929,1,26,3,NA,5.6
1929,1,27,0,NA,3.9
1929,1,30,0,11.1,-2.8
1929,6,25,20.3,28.3,18.3
1929,8,30,0,26.7,17.8
1934,12,22,3.8,16.7,4.4
1935,10,5,0,28.9,13.3
1948,11,14,0,23.9,8.9
1950,4,30,0,31.7,18.3
1951,1,26,0,12.2,-5
1953,7,30,0,34.4,18.9
1953,8,13,0,32.8,19.4
1954,1,24,0,10,-1.1
1961,11,8,0,28.3,NA
1961,11,9,0,NA,1.1
1961,11,10,0,NA,-0.6
1961,11,17,0,27.8,12.2
1961,11,19,0,18.9,7.2
1961,12,6,0,22.8,11.7
1961,12,7,0,NA,5.6
1961,12,12,12.4,27.8,15.6
1961,12,13,16.5,NA,NA
1961,12,14,3.3,NA,3.3
1961,12,15,18.3,NA,7.2
1961,12,16,18.8,NA,3.9
1961,12,19,0,21.7,10.6
1961,12,20,0,NA,3.9
1961,12,23,0,21.7,3.9
1961,12,24,0,NA,-1.1
1961,12,27,0,19.4,-2.2
1961,12,28,3,NA,3.3
1961,12,29,0,NA,-5.6
1964,4,9,6.6,24.4,5.6
1967,1,31,0,22.2,0
1967,2,1,NA,NA,NA
1967,2,2,NA,NA,NA
1967,2,3,NA,NA,NA
1967,2,4,NA,NA,NA
1967,2,5,NA,NA,NA
1967,2,6,NA,NA,NA
1967,2,7,NA,NA,NA
1967,2,8,NA,NA,NA
1967,2,9,NA,NA,NA
1967,2,10,NA,NA,NA
1967,2,11,NA,NA,NA
1967,2,12,NA,NA,NA
1972,2,24,0,21.7,6.1
1972,7,1,0,31.1,NA
1972,7,2,0,NA,NA
1972,7,3,0,NA,16.1
1972,7,7,0,32.8,20
1972,7,8,0,NA,20.6
1972,7,9,0,NA,NA
1972,7,10,18,NA,18.9
1972,7,15,0,34.4,21.1
1972,12,24,0,22.2,10.6
1972,12,25,4.6,NA,11.1
1972,12,26,0,NA,NA
1973,2,16,0,10,0.6
1973,2,17,0,NA,NA
1973,4,22,0,25.6,11.1
1973,4,23,0,NA,11.7
1973,4,24,0,NA,10.6
1974,6,23,NA,36.7,21.7
1974,6,24,NA,NA,NA
1974,6,25,NA,NA,NA
1974,6,26,NA,NA,NA
1974,6,27,NA,NA,NA
1974,6,28,NA,NA,NA
1974,6,29,NA,NA,NA
1975,4,14,90.4,22.2,9.4
1976,8,31,0,31.7,17.2
1976,10,8,9.9,30,18.3
1976,10,16,0,27.2,10.6
1976,12,20,0,13.9,NA
1977,3,31,9.4,28.3,13.9
1978,3,17,0,22.2,NA
1978,3,18,0,NA,NA
1978,5,30,1,32.2,17.8
1978,12,27,0,18.3,1.1
1978,12,28,0,NA,2.8
1979,7,5,0,35,21.1
1979,7,7,0,29.4,20
1979,7,8,12.7,NA,17.8
1979,12,31,13,16.1,1.1
1980,4,5,9.7,26.1,8.3
1980,10,1,30.7,20.6,15.6
1980,10,2,0,NA,NA
1980,12,24,NA,11.7,-1.7
1981,1,1,0,NA,NA
1981,1,2,0,NA,NA
1981,1,3,0,NA,NA
1981,4,19,0,31.7,11.7
1981,4,20,0,NA,9.4
1981,4,21,7.6,NA,12.2
1981,5,26,0,32.2,NA
1981,6,27,0,33.9,NA
1981,6,30,0,31.7,13.3
1981,7,31,17.8,29.4,19.4
1981,8,2,4.8,28.9,20
1981,8,15,0,31.7,18.3
1981,9,5,0,32.8,NA
1981,10,23,0,28.9,10.6
1981,10,24,0,NA,12.8
1981,10,29,0,23.9,7.2
1981,11,18,0,20.6,1.7
1982,2,25,0,24.4,11.1
1982,6,2,0,34.4,20
1982,12,10,0,15,6.7
1983,3,16,0,23.3,5.6
1984,1,20,0,4.4,0
1984,1,21,0,-1.1,4.4
1985,5,31,0,35.6,21.7
1985,6,1,0,NA,NA
1985,11,4,0,24.4,15.6
1985,11,5,NA,NA,NA
1985,11,6,NA,NA,NA
1987,12,23,0,18.9,3.3
1987,12,24,0,NA,NA
1987,12,25,0,NA,NA
1988,2,14,0,15.6,-5.6
1988,2,15,NA,NA,NA
1988,2,16,NA,NA,NA
1988,2,17,NA,NA,NA
1988,2,18,NA,NA,NA
1988,2,19,NA,NA,NA
1988,2,20,NA,NA,NA
1988,2,21,NA,NA,NA
1988,2,22,NA,NA,NA
1988,2,23,NA,NA,NA
1988,2,24,NA,NA,NA
1988,2,26,NA,12.2,5.6
1988,3,25,0,26.1,8.9
1988,4,9,0,25.6,3.9
